Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1   -0.108    0.0  -0.141  -0.075   True
     0      2  -0.1168    0.0 -0.1498 -0.0839   True
     0      4  -0.0526    0.0 -0.0855 -0.0196   True
     0      5   -0.062    0.0  -0.095  -0.029   True
     0      6   -0.058    0.0 -0.0909  -0.025   True
     0      8  -0.0492    0.0 -0.0821 -0.0162   True
     0      9  -0.0672    0.0 -0.1001 -0.0342   True
     0     10  -0.0645    0.0 -0.0974 -0.0315   True
     0     11  -0.0622    0.0 -0.0952 -0.0292   True
     0     12  -0.0434 0.0008 -0.0763 -0.0104   True
     0     13  -0.0563    0.0 -0.0892 -0.0233   True
     0     14  -0.0658    0.0 -0.0987 -0.0328   True
     0     15  -0.0589    0.0 -0.0919 -0.0259   True
     0     16  -0.0523    0.0 -0.0852 -0.0193   True
     0     17  -0.0543    0.0 -0.0872 -0.0213   True
     0     18  -0.0306 0.1079 -0.0635  0.0024  False
     0     19  -0.0587    0.0 -0.0917 -0.0257   True
     0     20  -0.0405 0.0027 -0.0735 -0.0076   True
     0     22  -0.0489 0.0001 -0.0818 -0.0159   True
     0     23  -0.0626    0.0 -0.0955 -0.0296   True
     0     24  -0.0542    0.0 -0.0872 -0.0213   True
     0     25  -0.0708    0.0 -0.1038 -0.0378   True
     0     26  -0.0358 0.0182 -0.0687 -0.0028   True
     0     27  -0.0367 0.0128 -0.0697 -0.0037   True
     1      2  -0.0089    1.0 -0.0418  0.0241  False
     1      4   0.0554    0.0  0.0225  0.0884   True
     1      5    0.046 0.0002   0.013   0.079   True
     1      6     0.05    0.0  0.0171   0.083   True
     1      8   0.0588    0.0  0.0259  0.0918   True
     1      9   0.0408 0.0024  0.0079  0.0738   True
     1     10   0.0435 0.0007  0.0105  0.0765   True
     1     11   0.0458 0.0003  0.0128  0.0788   True
     1     12   0.0646    0.0  0.0317  0.0976   True
     1     13   0.0517    0.0  0.0188  0.0847   True
     1     14   0.0422 0.0013  0.0093  0.0752   True
     1     15   0.0491 0.0001  0.0161  0.0821   True
     1     16   0.0557    0.0  0.0228  0.0887   True
     1     17   0.0537    0.0  0.0208  0.0867   True
     1     18   0.0774    0.0  0.0445  0.1104   True
     1     19   0.0493    0.0  0.0163  0.0822   True
     1     20   0.0675    0.0  0.0345  0.1004   True
     1     22   0.0591    0.0  0.0262  0.0921   True
     1     23   0.0454 0.0003  0.0125  0.0784   True
     1     24   0.0538    0.0  0.0208  0.0867   True
     1     25   0.0372 0.0106  0.0042  0.0701   True
     1     26   0.0722    0.0  0.0392  0.1052   True
     1     27   0.0713    0.0  0.0383  0.1043   True
     2      4   0.0643    0.0  0.0313  0.0973   True
     2      5   0.0548    0.0  0.0219  0.0878   True
     2      6   0.0589    0.0  0.0259  0.0919   True
     2      8   0.0677    0.0  0.0347  0.1007   True
     2      9   0.0497    0.0  0.0167  0.0826   True
     2     10   0.0524    0.0  0.0194  0.0853   True
     2     11   0.0546    0.0  0.0217  0.0876   True
     2     12   0.0735    0.0  0.0405  0.1065   True
     2     13   0.0606    0.0  0.0276  0.0936   True
     2     14   0.0511    0.0  0.0181   0.084   True
     2     15   0.0579    0.0   0.025  0.0909   True
     2     16   0.0646    0.0  0.0316  0.0976   True
     2     17   0.0626    0.0  0.0296  0.0955   True
     2     18   0.0863    0.0  0.0533  0.1192   True
     2     19   0.0581    0.0  0.0252  0.0911   True
     2     20   0.0763    0.0  0.0434  0.1093   True
     2     22    0.068    0.0   0.035  0.1009   True
     2     23   0.0543    0.0  0.0213  0.0873   True
     2     24   0.0626    0.0  0.0297  0.0956   True
     2     25    0.046 0.0002  0.0131   0.079   True
     2     26   0.0811    0.0  0.0481   0.114   True
     2     27   0.0801    0.0  0.0472  0.1131   True
     4      5  -0.0094    1.0 -0.0424  0.0235  False
     4      6  -0.0054    1.0 -0.0384  0.0276  False
     4      8   0.0034    1.0 -0.0296  0.0364  False
     4      9  -0.0146 0.9933 -0.0476  0.0183  False
     4     10  -0.0119 0.9997 -0.0449   0.021  False
     4     11  -0.0096    1.0 -0.0426  0.0233  False
     4     12   0.0092    1.0 -0.0238  0.0422  False
     4     13  -0.0037    1.0 -0.0367  0.0293  False
     4     14  -0.0132 0.9983 -0.0462  0.0198  False
     4     15  -0.0063    1.0 -0.0393  0.0266  False
     4     16   0.0003    1.0 -0.0327  0.0333  False
     4     17  -0.0017    1.0 -0.0347  0.0313  False
     4     18    0.022 0.6842  -0.011   0.055  False
     4     19  -0.0062    1.0 -0.0391  0.0268  False
     4     20    0.012 0.9996 -0.0209   0.045  False
     4     22   0.0037    1.0 -0.0293  0.0367  False
     4     23    -0.01    1.0  -0.043   0.023  False
     4     24  -0.0017    1.0 -0.0346  0.0313  False
     4     25  -0.0183 0.9208 -0.0512  0.0147  False
     4     26   0.0168 0.9657 -0.0162  0.0497  False
     4     27   0.0159 0.9818 -0.0171  0.0488  False
     5      6    0.004    1.0 -0.0289   0.037  False
     5      8   0.0129 0.9989 -0.0201  0.0458  False
     5      9  -0.0052    1.0 -0.0381  0.0278  False
     5     10  -0.0025    1.0 -0.0354  0.0305  False
     5     11  -0.0002    1.0 -0.0332  0.0328  False
     5     12   0.0187 0.9039 -0.0143  0.0516  False
     5     13   0.0058    1.0 -0.0272  0.0387  False
     5     14  -0.0038    1.0 -0.0367  0.0292  False
     5     15   0.0031    1.0 -0.0299  0.0361  False
     5     16   0.0097    1.0 -0.0232  0.0427  False
     5     17   0.0077    1.0 -0.0252  0.0407  False
     5     18   0.0314 0.0823 -0.0015  0.0644  False
     5     19   0.0033    1.0 -0.0297  0.0363  False
     5     20   0.0215 0.7258 -0.0115  0.0544  False
     5     22   0.0131 0.9985 -0.0198  0.0461  False
     5     23  -0.0006    1.0 -0.0335  0.0324  False
     5     24   0.0078    1.0 -0.0252  0.0407  False
     5     25  -0.0088    1.0 -0.0418  0.0242  False
     5     26   0.0262 0.3343 -0.0067  0.0592  False
     5     27   0.0253 0.4049 -0.0077  0.0583  False
     6      8   0.0088    1.0 -0.0242  0.0418  False
     6      9  -0.0092    1.0 -0.0422  0.0237  False
     6     10  -0.0065    1.0 -0.0395  0.0264  False
     6     11  -0.0042    1.0 -0.0372  0.0287  False
     6     12   0.0146 0.9934 -0.0184  0.0476  False
     6     13   0.0017    1.0 -0.0313  0.0347  False
     6     14  -0.0078    1.0 -0.0408  0.0252  False
     6     15  -0.0009    1.0 -0.0339   0.032  False
     6     16   0.0057    1.0 -0.0273  0.0387  False
     6     17   0.0037    1.0 -0.0293  0.0366  False
     6     18   0.0274 0.2557 -0.0056  0.0604  False
     6     19  -0.0008    1.0 -0.0337  0.0322  False
     6     20   0.0174 0.9492 -0.0155  0.0504  False
     6     22   0.0091    1.0 -0.0239  0.0421  False
     6     23  -0.0046    1.0 -0.0376  0.0284  False
     6     24   0.0037    1.0 -0.0292  0.0367  False
     6     25  -0.0129 0.9989 -0.0458  0.0201  False
     6     26   0.0222 0.6691 -0.0108  0.0551  False
     6     27   0.0212 0.7434 -0.0117  0.0542  False
     8      9   -0.018 0.9297  -0.051  0.0149  False
     8     10  -0.0153 0.9878 -0.0483  0.0176  False
     8     11   -0.013 0.9986  -0.046  0.0199  False
     8     12   0.0058    1.0 -0.0272  0.0388  False
     8     13  -0.0071    1.0 -0.0401  0.0259  False
     8     14  -0.0166  0.969 -0.0496  0.0163  False
     8     15  -0.0097    1.0 -0.0427  0.0232  False
     8     16  -0.0031    1.0 -0.0361  0.0299  False
     8     17  -0.0051    1.0 -0.0381  0.0278  False
     8     18   0.0186 0.9067 -0.0144  0.0516  False
     8     19  -0.0096    1.0 -0.0425  0.0234  False
     8     20   0.0086    1.0 -0.0243  0.0416  False
     8     22   0.0003    1.0 -0.0327  0.0333  False
     8     23  -0.0134 0.9979 -0.0464  0.0196  False
     8     24  -0.0051    1.0  -0.038  0.0279  False
     8     25  -0.0217 0.7115 -0.0546  0.0113  False
     8     26   0.0134  0.998 -0.0196  0.0463  False
     8     27   0.0124 0.9993 -0.0205  0.0454  False
     9     10   0.0027    1.0 -0.0303  0.0357  False
     9     11    0.005    1.0  -0.028  0.0379  False
     9     12   0.0238 0.5279 -0.0091  0.0568  False
     9     13   0.0109 0.9999  -0.022  0.0439  False
     9     14   0.0014    1.0 -0.0316  0.0344  False
     9     15   0.0083    1.0 -0.0247  0.0412  False
     9     16   0.0149 0.9913  -0.018  0.0479  False
     9     17   0.0129 0.9988 -0.0201  0.0459  False
     9     18   0.0366 0.0133  0.0036  0.0696   True
     9     19   0.0085    1.0 -0.0245  0.0414  False
     9     20   0.0266 0.3044 -0.0063  0.0596  False
     9     22   0.0183 0.9186 -0.0147  0.0513  False
     9     23   0.0046    1.0 -0.0283  0.0376  False
     9     24   0.0129 0.9988   -0.02  0.0459  False
     9     25  -0.0036    1.0 -0.0366  0.0293  False
     9     26   0.0314 0.0835 -0.0016  0.0644  False
     9     27   0.0305  0.111 -0.0025  0.0634  False
    10     11   0.0023    1.0 -0.0307  0.0352  False
    10     12   0.0211 0.7526 -0.0118  0.0541  False
    10     13   0.0082    1.0 -0.0247  0.0412  False
    10     14  -0.0013    1.0 -0.0343  0.0317  False
    10     15   0.0056    1.0 -0.0274  0.0385  False
    10     16   0.0122 0.9995 -0.0207  0.0452  False
    10     17   0.0102    1.0 -0.0228  0.0432  False
    10     18   0.0339  0.036   0.001  0.0669   True
    10     19   0.0058    1.0 -0.0272  0.0387  False
    10     20   0.0239 0.5171  -0.009  0.0569  False
    10     22   0.0156 0.9848 -0.0174  0.0486  False
    10     23   0.0019    1.0  -0.031  0.0349  False
    10     24   0.0103    1.0 -0.0227  0.0432  False
    10     25  -0.0063    1.0 -0.0393  0.0266  False
    10     26   0.0287 0.1834 -0.0043  0.0617  False
    10     27   0.0278 0.2329 -0.0052  0.0607  False
    11     12   0.0189 0.8948 -0.0141  0.0518  False
    11     13   0.0059    1.0  -0.027  0.0389  False
    11     14  -0.0036    1.0 -0.0365  0.0294  False
    11     15   0.0033    1.0 -0.0297  0.0363  False
    11     16   0.0099    1.0  -0.023  0.0429  False
    11     17   0.0079    1.0  -0.025  0.0409  False
    11     18   0.0316 0.0774 -0.0013  0.0646  False
    11     19   0.0035    1.0 -0.0295  0.0365  False
    11     20   0.0217 0.7102 -0.0113  0.0546  False
    11     22   0.0133 0.9981 -0.0196  0.0463  False
    11     23  -0.0004    1.0 -0.0333  0.0326  False
    11     24    0.008    1.0  -0.025  0.0409  False
    11     25  -0.0086    1.0 -0.0416  0.0244  False
    11     26   0.0264 0.3202 -0.0065  0.0594  False
    11     27   0.0255 0.3894 -0.0075  0.0585  False
    12     13  -0.0129 0.9988 -0.0459  0.0201  False
    12     14  -0.0224 0.6487 -0.0554  0.0105  False
    12     15  -0.0155 0.9855 -0.0485  0.0174  False
    12     16  -0.0089    1.0 -0.0419  0.0241  False
    12     17  -0.0109 0.9999 -0.0439   0.022  False
    12     18   0.0128  0.999 -0.0202  0.0458  False
    12     19  -0.0154 0.9875 -0.0483  0.0176  False
    12     20   0.0028    1.0 -0.0301  0.0358  False
    12     22  -0.0055    1.0 -0.0385  0.0274  False
    12     23  -0.0192 0.8769 -0.0522  0.0138  False
    12     24  -0.0109 0.9999 -0.0438  0.0221  False
    12     25  -0.0275 0.2516 -0.0604  0.0055  False
    12     26   0.0076    1.0 -0.0254  0.0405  False
    12     27   0.0066    1.0 -0.0263  0.0396  False
    13     14  -0.0095    1.0 -0.0425  0.0234  False
    13     15  -0.0026    1.0 -0.0356  0.0303  False
    13     16    0.004    1.0  -0.029   0.037  False
    13     17    0.002    1.0  -0.031  0.0349  False
    13     18   0.0257 0.3744 -0.0073  0.0587  False
    13     19  -0.0025    1.0 -0.0354  0.0305  False
    13     20   0.0157 0.9834 -0.0172  0.0487  False
    13     22   0.0074    1.0 -0.0256  0.0403  False
    13     23  -0.0063    1.0 -0.0393  0.0267  False
    13     24    0.002    1.0 -0.0309   0.035  False
    13     25  -0.0146 0.9936 -0.0475  0.0184  False
    13     26   0.0205    0.8 -0.0125  0.0534  False
    13     27   0.0195 0.8584 -0.0134  0.0525  False
    14     15   0.0069    1.0 -0.0261  0.0398  False
    14     16   0.0135 0.9977 -0.0195  0.0465  False
    14     17   0.0115 0.9998 -0.0215  0.0445  False
    14     18   0.0352 0.0226  0.0022  0.0682   True
    14     19   0.0071    1.0 -0.0259    0.04  False
    14     20   0.0252 0.4095 -0.0077  0.0582  False
    14     22   0.0169 0.9629 -0.0161  0.0499  False
    14     23   0.0032    1.0 -0.0298  0.0362  False
    14     24   0.0115 0.9998 -0.0214  0.0445  False
    14     25   -0.005    1.0  -0.038  0.0279  False
    14     26     0.03 0.1279  -0.003   0.063  False
    14     27   0.0291 0.1661 -0.0039   0.062  False
    15     16   0.0066    1.0 -0.0263  0.0396  False
    15     17   0.0046    1.0 -0.0283  0.0376  False
    15     18   0.0283 0.2017 -0.0046  0.0613  False
    15     19   0.0002    1.0 -0.0328  0.0332  False
    15     20   0.0184 0.9161 -0.0146  0.0513  False
    15     22     0.01    1.0 -0.0229   0.043  False
    15     23  -0.0037    1.0 -0.0366  0.0293  False
    15     24   0.0047    1.0 -0.0283  0.0376  False
    15     25  -0.0119 0.9997 -0.0449  0.0211  False
    15     26   0.0231 0.5887 -0.0098  0.0561  False
    15     27   0.0222 0.6676 -0.0108  0.0552  False
    16     17   -0.002    1.0  -0.035   0.031  False
    16     18   0.0217 0.7085 -0.0113  0.0547  False
    16     19  -0.0065    1.0 -0.0394  0.0265  False
    16     20   0.0117 0.9997 -0.0212  0.0447  False
    16     22   0.0034    1.0 -0.0296  0.0364  False
    16     23  -0.0103    1.0 -0.0433  0.0227  False
    16     24   -0.002    1.0 -0.0349   0.031  False
    16     25  -0.0186 0.9084 -0.0515  0.0144  False
    16     26   0.0165 0.9717 -0.0165  0.0494  False
    16     27   0.0156 0.9854 -0.0174  0.0485  False
    17     18   0.0237  0.538 -0.0093  0.0567  False
    17     19  -0.0044    1.0 -0.0374  0.0285  False
    17     20   0.0137 0.9971 -0.0192  0.0467  False
    17     22   0.0054    1.0 -0.0276  0.0384  False
    17     23  -0.0083    1.0 -0.0413  0.0247  False
    17     24      0.0    1.0 -0.0329   0.033  False
    17     25  -0.0165 0.9705 -0.0495  0.0164  False
    17     26   0.0185 0.9111 -0.0145  0.0515  False
    17     27   0.0176 0.9451 -0.0154  0.0505  False
    18     19  -0.0281 0.2118 -0.0611  0.0048  False
    18     20    -0.01    1.0 -0.0429   0.023  False
    18     22  -0.0183 0.9188 -0.0513  0.0147  False
    18     23   -0.032  0.069  -0.065   0.001  False
    18     24  -0.0237 0.5417 -0.0566  0.0093  False
    18     25  -0.0402  0.003 -0.0732 -0.0073   True
    18     26  -0.0052    1.0 -0.0382  0.0277  False
    18     27  -0.0061    1.0 -0.0391  0.0268  False
    19     20   0.0182 0.9236 -0.0148  0.0511  False
    19     22   0.0098    1.0 -0.0231  0.0428  False
    19     23  -0.0038    1.0 -0.0368  0.0291  False
    19     24   0.0045    1.0 -0.0285  0.0374  False
    19     25  -0.0121 0.9996 -0.0451  0.0209  False
    19     26   0.0229  0.605   -0.01  0.0559  False
    19     27    0.022 0.6832  -0.011   0.055  False
    20     22  -0.0083    1.0 -0.0413  0.0246  False
    20     23   -0.022 0.6812  -0.055  0.0109  False
    20     24  -0.0137 0.9972 -0.0467  0.0193  False
    20     25  -0.0303 0.1174 -0.0632  0.0027  False
    20     26   0.0047    1.0 -0.0282  0.0377  False
    20     27   0.0038    1.0 -0.0291  0.0368  False
    22     23  -0.0137 0.9972 -0.0467  0.0193  False
    22     24  -0.0054    1.0 -0.0383  0.0276  False
    22     25  -0.0219 0.6883 -0.0549   0.011  False
    22     26   0.0131 0.9985 -0.0199  0.0461  False
    22     27   0.0122 0.9995 -0.0208  0.0451  False
    23     24   0.0083    1.0 -0.0246  0.0413  False
    23     25  -0.0083    1.0 -0.0412  0.0247  False
    23     26   0.0268 0.2954 -0.0062  0.0597  False
    23     27   0.0259 0.3619 -0.0071  0.0588  False
    24     25  -0.0166 0.9697 -0.0495  0.0164  False
    24     26   0.0184 0.9129 -0.0145  0.0514  False
    24     27   0.0175 0.9463 -0.0154  0.0505  False
    25     26    0.035 0.0241  0.0021   0.068   True
    25     27   0.0341 0.0337  0.0011  0.0671   True
    26     27  -0.0009    1.0 -0.0339   0.032  False
----------------------------------------------------
