Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.0759    0.0 -0.1039 -0.0479   True
     0      3  -0.0599    0.0  -0.088 -0.0319   True
     0      5  -0.0393 0.0003 -0.0673 -0.0113   True
     0      6  -0.0455    0.0 -0.0736 -0.0175   True
     0      7  -0.0595    0.0 -0.0875 -0.0315   True
     0      8  -0.0489    0.0 -0.0769 -0.0208   True
     0     10  -0.0603    0.0 -0.0883 -0.0322   True
     0     11  -0.0478    0.0 -0.0758 -0.0198   True
     0     12  -0.0469    0.0 -0.0749 -0.0188   True
     0     13  -0.0371 0.0009 -0.0652 -0.0091   True
     0     14  -0.0629    0.0 -0.0909 -0.0349   True
     0     15   -0.048    0.0 -0.0761   -0.02   True
     0     16  -0.0403 0.0002 -0.0683 -0.0123   True
     0     17  -0.0494    0.0 -0.0775 -0.0214   True
     0     18  -0.0376 0.0007 -0.0656 -0.0096   True
     0     19   -0.028 0.0504  -0.056     0.0  False
     0     20  -0.0421 0.0001 -0.0701 -0.0141   True
     0     21  -0.0413 0.0001 -0.0693 -0.0132   True
     0     22  -0.0426    0.0 -0.0706 -0.0146   True
     0     23  -0.0248  0.154 -0.0528  0.0032  False
     1      3    0.016 0.8626  -0.012   0.044  False
     1      5   0.0366 0.0011  0.0086  0.0646   True
     1      6   0.0304 0.0196  0.0023  0.0584   True
     1      7   0.0164 0.8342 -0.0116  0.0444  False
     1      8   0.0271 0.0716  -0.001  0.0551  False
     1     10   0.0156 0.8832 -0.0124  0.0437  False
     1     11   0.0281 0.0485  0.0001  0.0561   True
     1     12    0.029 0.0337   0.001  0.0571   True
     1     13   0.0388 0.0004  0.0107  0.0668   True
     1     14    0.013 0.9781  -0.015   0.041  False
     1     15   0.0279 0.0529 -0.0002  0.0559  False
     1     16   0.0356 0.0018  0.0076  0.0636   True
     1     17   0.0265 0.0882 -0.0016  0.0545  False
     1     18   0.0383 0.0005  0.0103  0.0663   True
     1     19   0.0479    0.0  0.0199  0.0759   True
     1     20   0.0338 0.0043  0.0058  0.0618   True
     1     21   0.0346 0.0029  0.0066  0.0627   True
     1     22   0.0333 0.0055  0.0053  0.0613   True
     1     23   0.0511    0.0  0.0231  0.0792   True
     3      5   0.0206 0.4554 -0.0074  0.0486  False
     3      6   0.0144 0.9413 -0.0136  0.0424  False
     3      7   0.0004    1.0 -0.0276  0.0285  False
     3      8   0.0111 0.9965  -0.017  0.0391  False
     3     10  -0.0003    1.0 -0.0284  0.0277  False
     3     11   0.0121 0.9897 -0.0159  0.0402  False
     3     12   0.0131  0.977  -0.015  0.0411  False
     3     13   0.0228 0.2741 -0.0052  0.0508  False
     3     14   -0.003    1.0  -0.031   0.025  False
     3     15   0.0119 0.9917 -0.0161  0.0399  False
     3     16   0.0196 0.5488 -0.0084  0.0477  False
     3     17   0.0105 0.9983 -0.0175  0.0385  False
     3     18   0.0223 0.3094 -0.0057  0.0503  False
     3     19   0.0319 0.0101  0.0039  0.0599   True
     3     20   0.0178 0.7191 -0.0102  0.0459  False
     3     21   0.0187  0.644 -0.0094  0.0467  False
     3     22   0.0173 0.7647 -0.0107  0.0453  False
     3     23   0.0352 0.0023  0.0071  0.0632   True
     5      6  -0.0062    1.0 -0.0343  0.0218  False
     5      7  -0.0202 0.4956 -0.0482  0.0078  False
     5      8  -0.0095 0.9995 -0.0376  0.0185  False
     5     10   -0.021 0.4239  -0.049  0.0071  False
     5     11  -0.0085 0.9999 -0.0365  0.0195  False
     5     12  -0.0076    1.0 -0.0356  0.0205  False
     5     13   0.0022    1.0 -0.0259  0.0302  False
     5     14  -0.0236 0.2188 -0.0516  0.0044  False
     5     15  -0.0087 0.9999 -0.0368  0.0193  False
     5     16   -0.001    1.0  -0.029   0.027  False
     5     17  -0.0101 0.9989 -0.0382  0.0179  False
     5     18   0.0017    1.0 -0.0263  0.0297  False
     5     19   0.0113 0.9955 -0.0167  0.0393  False
     5     20  -0.0028    1.0 -0.0308  0.0252  False
     5     21   -0.002    1.0   -0.03  0.0261  False
     5     22  -0.0033    1.0 -0.0313  0.0247  False
     5     23   0.0145 0.9362 -0.0135  0.0426  False
     6      7   -0.014 0.9554  -0.042  0.0141  False
     6      8  -0.0033    1.0 -0.0313  0.0247  False
     6     10  -0.0147  0.928 -0.0428  0.0133  False
     6     11  -0.0023    1.0 -0.0303  0.0258  False
     6     12  -0.0013    1.0 -0.0294  0.0267  False
     6     13   0.0084 0.9999 -0.0196  0.0364  False
     6     14  -0.0174 0.7592 -0.0454  0.0106  False
     6     15  -0.0025    1.0 -0.0305  0.0255  False
     6     16   0.0052    1.0 -0.0228  0.0333  False
