Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.0978    0.0 -0.1236  -0.072   True
     0      2  -0.1146    0.0 -0.1403 -0.0888   True
     0      4  -0.3684    0.0 -0.3942 -0.3426   True
     0      5   -0.104    0.0 -0.1298 -0.0782   True
     0      6  -0.1013    0.0 -0.1271 -0.0755   True
     0      7   0.0002    1.0 -0.0256   0.026  False
     0      9  -0.0936    0.0 -0.1194 -0.0678   True
     0     10  -0.0995    0.0 -0.1253 -0.0737   True
     0     11   -0.097    0.0 -0.1228 -0.0712   True
     1      2  -0.0168 0.4889 -0.0425   0.009  False
     1      4  -0.2706    0.0 -0.2964 -0.2448   True
     1      5  -0.0062 0.9981  -0.032  0.0196  False
     1      6  -0.0035    1.0 -0.0293  0.0223  False
     1      7    0.098    0.0  0.0722  0.1238   True
     1      9   0.0042 0.9999 -0.0216    0.03  False
     1     10  -0.0017    1.0 -0.0275  0.0241  False
     1     11   0.0008    1.0  -0.025  0.0266  False
     2      4  -0.2539    0.0 -0.2796 -0.2281   True
     2      5   0.0106 0.9293 -0.0152  0.0363  False
     2      6   0.0133 0.7758 -0.0125  0.0391  False
     2      7   0.1147    0.0  0.0889  0.1405   True
     2      9   0.0209 0.2009 -0.0048  0.0467  False
     2     10   0.0151 0.6329 -0.0107  0.0408  False
     2     11   0.0175 0.4256 -0.0083  0.0433  False
     4      5   0.2644    0.0  0.2386  0.2902   True
     4      6   0.2671    0.0  0.2414  0.2929   True
     4      7   0.3686    0.0  0.3428  0.3944   True
     4      9   0.2748    0.0   0.249  0.3006   True
     4     10   0.2689    0.0  0.2431  0.2947   True
     4     11   0.2714    0.0  0.2456  0.2972   True
     5      6   0.0027    1.0 -0.0231  0.0285  False
     5      7   0.1042    0.0  0.0784    0.13   True
     5      9   0.0104 0.9353 -0.0154  0.0362  False
     5     10   0.0045 0.9999 -0.0213  0.0303  False
     5     11    0.007 0.9954 -0.0188  0.0328  False
     6      7   0.1015    0.0  0.0757  0.1272   True
     6      9   0.0077 0.9909 -0.0181  0.0334  False
     6     10   0.0018    1.0  -0.024  0.0276  False
     6     11   0.0043 0.9999 -0.0215    0.03  False
     7      9  -0.0938    0.0 -0.1196  -0.068   True
     7     10  -0.0997    0.0 -0.1254 -0.0739   True
     7     11  -0.0972    0.0  -0.123 -0.0714   True
     9     10  -0.0059 0.9988 -0.0317  0.0199  False
     9     11  -0.0034    1.0 -0.0292  0.0224  False
    10     11   0.0025    1.0 -0.0233  0.0283  False
----------------------------------------------------
