Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.0822    0.0 -0.1146 -0.0499   True
     0      2  -0.0318 0.0589 -0.0641  0.0005  False
     0      4  -0.0226 0.5521 -0.0549  0.0097  False
     0      5  -0.0395 0.0035 -0.0719 -0.0072   True
     0      6  -0.0225 0.5576 -0.0549  0.0098  False
     0      7  -0.0299 0.1045 -0.0623  0.0024  False
     0      8  -0.0308 0.0797 -0.0632  0.0015  False
     0     10  -0.0367 0.0106  -0.069 -0.0044   True
     0     11  -0.0145 0.9846 -0.0468  0.0178  False
     0     12  -0.0301 0.1007 -0.0624  0.0022  False
     0     13  -0.0225 0.5597 -0.0548  0.0098  False
     0     14   -0.042 0.0013 -0.0743 -0.0097   True
     0     15  -0.0193 0.8122 -0.0516   0.013  False
     0     16  -0.0335 0.0331 -0.0659 -0.0012   True
     0     17  -0.0245  0.397 -0.0568  0.0078  False
     0     18  -0.0477 0.0001   -0.08 -0.0153   True
     0     19  -0.0333 0.0356 -0.0657  -0.001   True
     0     21   -0.028 0.1797 -0.0603  0.0043  False
     0     22  -0.0232 0.4988 -0.0556  0.0091  False
     0     23  -0.0333 0.0356 -0.0657  -0.001   True
     1      2   0.0504    0.0  0.0181  0.0827   True
     1      4   0.0596    0.0  0.0273   0.092   True
     1      5   0.0427 0.0009  0.0104   0.075   True
     1      6   0.0597    0.0  0.0274   0.092   True
     1      7   0.0523    0.0    0.02  0.0846   True
     1      8   0.0514    0.0  0.0191  0.0837   True
     1     10   0.0456 0.0003  0.0132  0.0779   True
     1     11   0.0677    0.0  0.0354  0.1001   True
     1     12   0.0522    0.0  0.0199  0.0845   True
     1     13   0.0597    0.0  0.0274   0.092   True
     1     14   0.0403 0.0026   0.008  0.0726   True
     1     15    0.063    0.0  0.0307  0.0953   True
     1     16   0.0487 0.0001  0.0164   0.081   True
     1     17   0.0577    0.0  0.0254    0.09   True
     1     18   0.0346  0.023  0.0023  0.0669   True
     1     19   0.0489 0.0001  0.0166  0.0812   True
     1     21   0.0543    0.0  0.0219  0.0866   True
     1     22    0.059    0.0  0.0267  0.0913   True
     1     23   0.0489 0.0001  0.0166  0.0812   True
     2      4   0.0092    1.0 -0.0231  0.0415  False
     2      5  -0.0077    1.0   -0.04  0.0246  False
     2      6   0.0093    1.0  -0.023  0.0416  False
     2      7   0.0019    1.0 -0.0305  0.0342  False
     2      8    0.001    1.0 -0.0314  0.0333  False
     2     10  -0.0049    1.0 -0.0372  0.0274  False
     2     11   0.0173 0.9156  -0.015  0.0496  False
     2     12   0.0017    1.0 -0.0306  0.0341  False
     2     13   0.0093    1.0  -0.023  0.0416  False
     2     14  -0.0102 0.9998 -0.0425  0.0222  False
     2     15   0.0125 0.9972 -0.0198  0.0449  False
     2     16  -0.0017    1.0 -0.0341  0.0306  False
     2     17   0.0073    1.0  -0.025  0.0396  False
     2     18  -0.0158 0.9619 -0.0482  0.0165  False
     2     19  -0.0015    1.0 -0.0338  0.0308  False
     2     21   0.0038    1.0 -0.0285  0.0361  False
     2     22   0.0086    1.0 -0.0238  0.0409  False
     2     23  -0.0015    1.0 -0.0338  0.0308  False
     4      5  -0.0169 0.9304 -0.0492  0.0154  False
     4      6   0.0001    1.0 -0.0323  0.0324  False
     4      7  -0.0073    1.0 -0.0397   0.025  False
     4      8  -0.0082    1.0 -0.0406  0.0241  False
     4     10  -0.0141 0.9888 -0.0464  0.0182  False
     4     11   0.0081    1.0 -0.0242  0.0404  False
     4     12  -0.0075    1.0 -0.0398  0.0249  False
     4     13   0.0001    1.0 -0.0322  0.0324  False
     4     14  -0.0194 0.8062 -0.0517   0.013  False
     4     15   0.0033    1.0  -0.029  0.0357  False
     4     16  -0.0109 0.9996 -0.0433  0.0214  False
     4     17  -0.0019    1.0 -0.0342  0.0304  False
     4     18   -0.025  0.357 -0.0574  0.0073  False
     4     19  -0.0107 0.9997  -0.043  0.0216  False
     4     21  -0.0054    1.0 -0.0377  0.0269  False
     4     22  -0.0006    1.0  -0.033  0.0317  False
     4     23  -0.0107 0.9997  -0.043  0.0216  False
     5      6    0.017  0.928 -0.0153  0.0493  False
     5      7   0.0096 0.9999 -0.0227  0.0419  False
     5      8   0.0087    1.0 -0.0236   0.041  False
     5     10   0.0028    1.0 -0.0295  0.0352  False
     5     11    0.025  0.358 -0.0073  0.0574  False
     5     12   0.0095 0.9999 -0.0229  0.0418  False
     5     13    0.017 0.9271 -0.0153  0.0493  False
     5     14  -0.0024    1.0 -0.0348  0.0299  False
     5     15   0.0203 0.7424 -0.0121  0.0526  False
     5     16    0.006    1.0 -0.0263  0.0383  False
     5     17    0.015 0.9776 -0.0173  0.0473  False
     5     18  -0.0081    1.0 -0.0404  0.0242  False
     5     19   0.0062    1.0 -0.0261  0.0385  False
     5     21   0.0115 0.9991 -0.0208  0.0439  False
     5     22   0.0163 0.9505  -0.016  0.0486  False
     5     23   0.0062    1.0 -0.0261  0.0385  False
     6      7  -0.0074    1.0 -0.0397  0.0249  False
     6      8  -0.0083    1.0 -0.0406   0.024  False
     6     10  -0.0142 0.9882 -0.0465  0.0182  False
     6     11    0.008    1.0 -0.0243  0.0404  False
     6     12  -0.0075    1.0 -0.0398  0.0248  False
     6     13      0.0    1.0 -0.0323  0.0323  False
     6     14  -0.0194 0.8019 -0.0517  0.0129  False
     6     15   0.0033    1.0  -0.029  0.0356  False
     6     16   -0.011 0.9995 -0.0433  0.0213  False
     6     17   -0.002    1.0 -0.0343  0.0303  False
     6     18  -0.0251 0.3522 -0.0574  0.0072  False
     6     19  -0.0108 0.9996 -0.0431  0.0215  False
     6     21  -0.0054    1.0 -0.0378  0.0269  False
     6     22  -0.0007    1.0  -0.033  0.0316  False
     6     23  -0.0108 0.9996 -0.0431  0.0215  False
     7      8  -0.0009    1.0 -0.0332  0.0314  False
     7     10  -0.0067    1.0 -0.0391  0.0256  False
     7     11   0.0154 0.9702 -0.0169  0.0478  False
     7     12  -0.0001    1.0 -0.0324  0.0322  False
     7     13   0.0074    1.0 -0.0249  0.0397  False
     7     14   -0.012 0.9984 -0.0443  0.0203  False
     7     15   0.0107 0.9997 -0.0216   0.043  False
     7     16  -0.0036    1.0 -0.0359  0.0287  False
     7     17   0.0054    1.0 -0.0269  0.0378  False
     7     18  -0.0177 0.8986   -0.05  0.0146  False
     7     19  -0.0034    1.0 -0.0357  0.0289  False
     7     21    0.002    1.0 -0.0304  0.0343  False
     7     22   0.0067    1.0 -0.0256   0.039  False
     7     23  -0.0034    1.0 -0.0357  0.0289  False
     8     10  -0.0058    1.0 -0.0382  0.0265  False
     8     11   0.0164 0.9488  -0.016  0.0487  False
     8     12   0.0008    1.0 -0.0315  0.0331  False
     8     13   0.0083    1.0  -0.024  0.0407  False
     8     14  -0.0111 0.9994 -0.0434  0.0212  False
     8     15   0.0116  0.999 -0.0207  0.0439  False
     8     16  -0.0027    1.0  -0.035  0.0296  False
     8     17   0.0063    1.0  -0.026  0.0387  False
     8     18  -0.0168 0.9344 -0.0491  0.0155  False
     8     19  -0.0025    1.0 -0.0348  0.0298  False
     8     21   0.0029    1.0 -0.0295  0.0352  False
     8     22   0.0076    1.0 -0.0247  0.0399  False
     8     23  -0.0025    1.0 -0.0348  0.0298  False
    10     11   0.0222 0.5869 -0.0101  0.0545  False
    10     12   0.0066    1.0 -0.0257  0.0389  False
    10     13   0.0142  0.988 -0.0181  0.0465  False
    10     14  -0.0053    1.0 -0.0376   0.027  False
    10     15   0.0174 0.9111 -0.0149  0.0497  False
    10     16   0.0031    1.0 -0.0292  0.0355  False
    10     17   0.0122 0.9981 -0.0201  0.0445  False
    10     18   -0.011 0.9995 -0.0433  0.0214  False
    10     19   0.0034    1.0  -0.029  0.0357  False
    10     21   0.0087    1.0 -0.0236   0.041  False
    10     22   0.0134 0.9934 -0.0189  0.0458  False
    10     23   0.0034    1.0  -0.029  0.0357  False
    11     12  -0.0156 0.9678 -0.0479  0.0167  False
    11     13   -0.008    1.0 -0.0403  0.0243  False
    11     14  -0.0275 0.2054 -0.0598  0.0048  False
    11     15  -0.0048    1.0 -0.0371  0.0275  False
    11     16   -0.019 0.8264 -0.0514  0.0133  False
    11     17    -0.01 0.9999 -0.0423  0.0223  False
    11     18  -0.0332 0.0378 -0.0655 -0.0008   True
    11     19  -0.0188 0.8393 -0.0512  0.0135  False
    11     21  -0.0135 0.9932 -0.0458  0.0188  False
    11     22  -0.0087    1.0 -0.0411  0.0236  False
    11     23  -0.0188 0.8394 -0.0512  0.0135  False
    12     13   0.0076    1.0 -0.0248  0.0399  False
    12     14  -0.0119 0.9986 -0.0442  0.0204  False
    12     15   0.0108 0.9996 -0.0215  0.0431  False
    12     16  -0.0035    1.0 -0.0358  0.0288  False
    12     17   0.0056    1.0 -0.0268  0.0379  False
    12     18  -0.0176 0.9042 -0.0499  0.0147  False
    12     19  -0.0033    1.0 -0.0356  0.0291  False
    12     21   0.0021    1.0 -0.0302  0.0344  False
    12     22   0.0068    1.0 -0.0255  0.0391  False
    12     23  -0.0033    1.0 -0.0356  0.0291  False
    13     14  -0.0195 0.8002 -0.0518  0.0129  False
    13     15   0.0032    1.0 -0.0291  0.0356  False
    13     16   -0.011 0.9995 -0.0433  0.0213  False
    13     17   -0.002    1.0 -0.0343  0.0303  False
    13     18  -0.0251 0.3504 -0.0575  0.0072  False
    13     19  -0.0108 0.9996 -0.0431  0.0215  False
    13     21  -0.0055    1.0 -0.0378  0.0268  False
    13     22  -0.0007    1.0  -0.033  0.0316  False
    13     23  -0.0108 0.9996 -0.0431  0.0215  False
    14     15   0.0227 0.5445 -0.0096   0.055  False
    14     16   0.0084    1.0 -0.0239  0.0407  False
    14     17   0.0175 0.9099 -0.0149  0.0498  False
    14     18  -0.0057    1.0  -0.038  0.0266  False
    14     19   0.0086    1.0 -0.0237   0.041  False
    14     21    0.014 0.9897 -0.0183  0.0463  False
    14     22   0.0187 0.8459 -0.0136   0.051  False
    14     23   0.0086    1.0 -0.0237   0.041  False
    15     16  -0.0143  0.987 -0.0466   0.018  False
    15     17  -0.0052    1.0 -0.0376  0.0271  False
    15     18  -0.0284 0.1618 -0.0607  0.0039  False
    15     19  -0.0141  0.989 -0.0464  0.0183  False
    15     21  -0.0087    1.0  -0.041  0.0236  False
    15     22   -0.004    1.0 -0.0363  0.0283  False
    15     23  -0.0141  0.989 -0.0464  0.0183  False
    16     17    0.009    1.0 -0.0233  0.0413  False
    16     18  -0.0141 0.9886 -0.0464  0.0182  False
    16     19   0.0002    1.0 -0.0321  0.0325  False
    16     21   0.0056    1.0 -0.0268  0.0379  False
    16     22   0.0103 0.9998  -0.022  0.0426  False
    16     23   0.0002    1.0 -0.0321  0.0325  False
    17     18  -0.0231 0.5074 -0.0555  0.0092  False
    17     19  -0.0088    1.0 -0.0411  0.0235  False
    17     21  -0.0035    1.0 -0.0358  0.0288  False
    17     22   0.0013    1.0  -0.031  0.0336  False
    17     23  -0.0088    1.0 -0.0411  0.0235  False
