Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.0403 0.0054 -0.0724 -0.0083   True
     0      3  -0.0381 0.0101 -0.0701 -0.0061   True
     0      5  -0.0086 0.9923 -0.0407  0.0234  False
     0      6  -0.0502 0.0003 -0.0822 -0.0181   True
     0      7  -0.0344 0.0275 -0.0664 -0.0024   True
     0      8  -0.0398 0.0062 -0.0719 -0.0078   True
     0      9  -0.0304 0.0745 -0.0624  0.0017  False
     0     11  -0.0394  0.007 -0.0715 -0.0074   True
     1      3   0.0022    1.0 -0.0298  0.0343  False
     1      5   0.0317 0.0539 -0.0003  0.0638  False
     1      6  -0.0098 0.9822 -0.0419  0.0222  False
     1      7    0.006 0.9994 -0.0261   0.038  False
     1      8   0.0005    1.0 -0.0315  0.0325  False
     1      9     0.01 0.9806 -0.0221   0.042  False
     1     11   0.0009    1.0 -0.0311   0.033  False
     3      5   0.0295 0.0915 -0.0025  0.0615  False
     3      6  -0.0121  0.941 -0.0441    0.02  False
     3      7   0.0037    1.0 -0.0283  0.0357  False
     3      8  -0.0017    1.0 -0.0338  0.0303  False
     3      9   0.0077 0.9963 -0.0243  0.0398  False
     3     11  -0.0013    1.0 -0.0333  0.0307  False
     5      6  -0.0416 0.0038 -0.0736 -0.0095   True
     5      7  -0.0258 0.2012 -0.0578  0.0063  False
     5      8  -0.0312  0.061 -0.0633  0.0008  False
     5      9  -0.0218 0.4036 -0.0538  0.0103  False
     5     11  -0.0308 0.0674 -0.0628  0.0012  False
     6      7   0.0158 0.7852 -0.0162  0.0478  False
     6      8   0.0103 0.9758 -0.0217  0.0424  False
     6      9   0.0198 0.5288 -0.0122  0.0518  False
     6     11   0.0108 0.9693 -0.0213  0.0428  False
     7      8  -0.0054 0.9997 -0.0375  0.0266  False
     7      9    0.004    1.0  -0.028   0.036  False
     7     11   -0.005 0.9998 -0.0371   0.027  False
     8      9   0.0095  0.986 -0.0226  0.0415  False
     8     11   0.0004    1.0 -0.0316  0.0325  False
     9     11   -0.009 0.9895 -0.0411   0.023  False
----------------------------------------------------
