Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.1286    0.0  -0.162 -0.0951   True
     0      3  -0.0939    0.0 -0.1273 -0.0605   True
     0      4  -0.1126    0.0  -0.146 -0.0792   True
     0      5  -0.1146    0.0  -0.148 -0.0812   True
     0      6  -0.0991    0.0 -0.1325 -0.0657   True
     0      7  -0.1183    0.0 -0.1517 -0.0849   True
     0      8  -0.1137    0.0 -0.1471 -0.0803   True
     0      9   -0.117    0.0 -0.1504 -0.0836   True
     0     10  -0.0509    0.0 -0.0843 -0.0175   True
     0     11  -0.0627    0.0 -0.0961 -0.0293   True
     0     12  -0.1062    0.0 -0.1397 -0.0728   True
     0     13  -0.0665    0.0 -0.0999 -0.0331   True
     0     14  -0.1131    0.0 -0.1465 -0.0797   True
     0     15  -0.0751    0.0 -0.1085 -0.0417   True
     0     16  -0.0697    0.0 -0.1031 -0.0363   True
     0     17  -0.0774    0.0 -0.1108  -0.044   True
     0     18   -0.075    0.0 -0.1084 -0.0416   True
     0     19   -0.076    0.0 -0.1094 -0.0426   True
     0     20  -0.0777    0.0 -0.1111 -0.0443   True
     0     21  -0.0882    0.0 -0.1216 -0.0548   True
     0     22  -0.0909    0.0 -0.1243 -0.0575   True
     0     23  -0.0555    0.0 -0.0889  -0.022   True
     0     24  -0.0576    0.0  -0.091 -0.0242   True
     0     25  -0.0909    0.0 -0.1243 -0.0575   True
     0     26  -0.0695    0.0 -0.1029  -0.036   True
     0     27  -0.0629    0.0 -0.0963 -0.0295   True
     0     28   -0.053    0.0 -0.0864 -0.0195   True
     0     29  -0.0632    0.0 -0.0967 -0.0298   True
     0     30  -0.0743    0.0 -0.1077 -0.0409   True
     0     31  -0.0441 0.0005 -0.0775 -0.0107   True
     1      3   0.0347 0.0314  0.0013  0.0681   True
     1      4    0.016 0.9925 -0.0175  0.0494  False
     1      5   0.0139 0.9991 -0.0195  0.0473  False
     1      6   0.0295 0.1772 -0.0039  0.0629  False
     1      7   0.0103    1.0 -0.0231  0.0437  False
     1      8   0.0148 0.9975 -0.0186  0.0483  False
     1      9   0.0115    1.0 -0.0219  0.0449  False
     1     10   0.0777    0.0  0.0443  0.1111   True
     1     11   0.0659    0.0  0.0325  0.0993   True
     1     12   0.0223  0.736 -0.0111  0.0557  False
     1     13    0.062    0.0  0.0286  0.0955   True
     1     14   0.0154 0.9954  -0.018  0.0488  False
     1     15   0.0535    0.0  0.0201  0.0869   True
     1     16   0.0589    0.0  0.0255  0.0923   True
     1     17   0.0512    0.0  0.0178  0.0846   True
     1     18   0.0535    0.0  0.0201  0.0869   True
     1     19   0.0526    0.0  0.0192   0.086   True
     1     20   0.0509    0.0  0.0175  0.0843   True
     1     21   0.0404  0.003  0.0069  0.0738   True
     1     22   0.0377 0.0096  0.0043  0.0711   True
     1     23   0.0731    0.0  0.0397  0.1065   True
     1     24   0.0709    0.0  0.0375  0.1043   True
     1     25   0.0377 0.0097  0.0042  0.0711   True
     1     26   0.0591    0.0  0.0257  0.0925   True
     1     27   0.0657    0.0  0.0323  0.0991   True
     1     28   0.0756    0.0  0.0422   0.109   True
     1     29   0.0653    0.0  0.0319  0.0987   True
     1     30   0.0542    0.0  0.0208  0.0876   True
     1     31   0.0845    0.0  0.0511  0.1179   True
     3      4  -0.0187 0.9435 -0.0521  0.0147  False
     3      5  -0.0208 0.8479 -0.0542  0.0127  False
     3      6  -0.0052    1.0 -0.0386  0.0282  False
     3      7  -0.0244 0.5539 -0.0578   0.009  False
     3      8  -0.0198 0.8983 -0.0533  0.0136  False
     3      9  -0.0231 0.6654 -0.0566  0.0103  False
     3     10    0.043 0.0009  0.0096  0.0764   True
     3     11   0.0312 0.1055 -0.0022  0.0646  False
     3     12  -0.0124 0.9999 -0.0458   0.021  False
     3     13   0.0274 0.3059 -0.0061  0.0608  False
     3     14  -0.0193 0.9244 -0.0527  0.0142  False
     3     15   0.0188 0.9408 -0.0146  0.0522  False
     3     16   0.0242 0.5715 -0.0092  0.0576  False
     3     17   0.0165 0.9879 -0.0169  0.0499  False
     3     18   0.0188 0.9396 -0.0146  0.0522  False
     3     19   0.0179  0.966 -0.0155  0.0513  False
     3     20   0.0162 0.9907 -0.0172  0.0496  False
     3     21   0.0057    1.0 -0.0277  0.0391  False
     3     22    0.003    1.0 -0.0304  0.0364  False
     3     23   0.0384  0.007   0.005  0.0718   True
     3     24   0.0362 0.0172  0.0028  0.0697   True
     3     25    0.003    1.0 -0.0304  0.0364  False
     3     26   0.0244 0.5515  -0.009  0.0578  False
     3     27    0.031 0.1127 -0.0024  0.0644  False
     3     28   0.0409 0.0023  0.0075  0.0743   True
     3     29   0.0306  0.126 -0.0028   0.064  False
     3     30   0.0196 0.9117 -0.0139   0.053  False
     3     31   0.0498    0.0  0.0164  0.0832   True
     4      5   -0.002    1.0 -0.0354  0.0314  False
     4      6   0.0135 0.9995 -0.0199  0.0469  False
     4      7  -0.0057    1.0 -0.0391  0.0277  False
     4      8  -0.0011    1.0 -0.0345  0.0323  False
     4      9  -0.0044    1.0 -0.0378   0.029  False
     4     10   0.0617    0.0  0.0283  0.0951   True
     4     11   0.0499    0.0  0.0165  0.0833   True
     4     12   0.0063    1.0 -0.0271  0.0398  False
     4     13   0.0461 0.0002  0.0127  0.0795   True
     4     14  -0.0005    1.0 -0.0339  0.0329  False
     4     15   0.0375 0.0102  0.0041  0.0709   True
     4     16   0.0429 0.0009  0.0095  0.0763   True
     4     17   0.0352 0.0256  0.0018  0.0686   True
     4     18   0.0376   0.01  0.0042   0.071   True
     4     19   0.0366 0.0147  0.0032    0.07   True
     4     20   0.0349 0.0287  0.0015  0.0683   True
     4     21   0.0244  0.554  -0.009  0.0578  False
     4     22   0.0217 0.7816 -0.0117  0.0551  False
     4     23   0.0571    0.0  0.0237  0.0905   True
     4     24    0.055    0.0  0.0216  0.0884   True
     4     25   0.0217 0.7833 -0.0117  0.0551  False
     4     26   0.0431 0.0008  0.0097  0.0766   True
     4     27   0.0497    0.0  0.0163  0.0831   True
     4     28   0.0596    0.0  0.0262  0.0931   True
     4     29   0.0493    0.0  0.0159  0.0828   True
     4     30   0.0383 0.0074  0.0049  0.0717   True
     4     31   0.0685    0.0  0.0351  0.1019   True
     5      6   0.0155 0.9949 -0.0179  0.0489  False
     5      7  -0.0036    1.0 -0.0371  0.0298  False
     5      8   0.0009    1.0 -0.0325  0.0343  False
     5      9  -0.0024    1.0 -0.0358   0.031  False
     5     10   0.0637    0.0  0.0303  0.0971   True
     5     11   0.0519    0.0  0.0185  0.0854   True
     5     12   0.0084    1.0  -0.025  0.0418  False
     5     13   0.0481 0.0001  0.0147  0.0815   True
     5     14   0.0015    1.0 -0.0319  0.0349  False
     5     15   0.0396 0.0043  0.0061   0.073   True
     5     16    0.045 0.0003  0.0115  0.0784   True
     5     17   0.0373 0.0114  0.0038  0.0707   True
     5     18   0.0396 0.0042  0.0062   0.073   True
     5     19   0.0387 0.0063  0.0052  0.0721   True
     5     20    0.037 0.0129  0.0035  0.0704   True
     5     21   0.0264 0.3779  -0.007  0.0598  False
     5     22   0.0237 0.6119 -0.0097  0.0572  False
     5     23   0.0592    0.0  0.0258  0.0926   True
     5     24    0.057    0.0  0.0236  0.0904   True
     5     25   0.0237 0.6139 -0.0097  0.0571  False
     5     26   0.0452 0.0003  0.0118  0.0786   True
     5     27   0.0517    0.0  0.0183  0.0851   True
     5     28   0.0617    0.0  0.0283  0.0951   True
     5     29   0.0514    0.0   0.018  0.0848   True
     5     30   0.0403 0.0031  0.0069  0.0737   True
     5     31   0.0706    0.0  0.0372   0.104   True
     6      7  -0.0192 0.9275 -0.0526  0.0142  False
     6      8  -0.0146  0.998  -0.048  0.0188  False
     6      9  -0.0179 0.9655 -0.0513  0.0155  False
     6     10   0.0482 0.0001  0.0148  0.0816   True
     6     11   0.0364 0.0161   0.003  0.0698   True
     6     12  -0.0072    1.0 -0.0406  0.0263  False
     6     13   0.0326 0.0668 -0.0008   0.066  False
     6     14   -0.014  0.999 -0.0474  0.0194  False
     6     15    0.024  0.587 -0.0094  0.0574  False
     6     16   0.0294 0.1794  -0.004  0.0628  False
     6     17   0.0217 0.7814 -0.0117  0.0551  False
     6     18   0.0241 0.5839 -0.0094  0.0575  False
     6     19   0.0231 0.6673 -0.0103  0.0565  False
     6     20   0.0214 0.8036  -0.012  0.0548  False
     6     21   0.0109    1.0 -0.0225  0.0443  False
     6     22   0.0082    1.0 -0.0252  0.0416  False
     6     23   0.0436 0.0007  0.0102   0.077   True
     6     24   0.0415 0.0018  0.0081  0.0749   True
     6     25   0.0082    1.0 -0.0252  0.0416  False
     6     26   0.0296 0.1684 -0.0038  0.0631  False
     6     27   0.0362 0.0175  0.0028  0.0696   True
     6     28   0.0461 0.0002  0.0127  0.0796   True
     6     29   0.0358 0.0201  0.0024  0.0693   True
     6     30   0.0248 0.5198 -0.0086  0.0582  False
     6     31    0.055    0.0  0.0216  0.0884   True
     7      8   0.0046    1.0 -0.0289   0.038  False
     7      9   0.0012    1.0 -0.0322  0.0347  False
     7     10   0.0674    0.0   0.034  0.1008   True
     7     11   0.0556    0.0  0.0222   0.089   True
     7     12    0.012 0.9999 -0.0214  0.0454  False
     7     13   0.0518    0.0  0.0183  0.0852   True
     7     14   0.0051    1.0 -0.0283  0.0386  False
     7     15   0.0432 0.0008  0.0098  0.0766   True
