Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.2908    0.0 -0.3493 -0.2323   True
     0      3  -0.0969    0.0 -0.1554 -0.0384   True
     0      4  -0.1142    0.0 -0.1727 -0.0557   True
     0      5  -0.0837 0.0001 -0.1422 -0.0252   True
     0      6  -0.0931    0.0 -0.1516 -0.0346   True
     0      7  -0.0891    0.0 -0.1476 -0.0306   True
     0      8  -0.1214    0.0 -0.1799 -0.0628   True
     0      9  -0.1211    0.0 -0.1796 -0.0626   True
     0     10  -0.0426 0.5579 -0.1011  0.0159  False
     0     11  -0.0438 0.4961 -0.1023  0.0147  False
     0     12  -0.0959    0.0 -0.1544 -0.0374   True
     0     13  -0.0546 0.1067 -0.1131   0.004  False
     0     14  -0.0643 0.0142 -0.1228 -0.0058   True
     0     15  -0.0386 0.7589 -0.0971  0.0199  False
     0     16  -0.1063    0.0 -0.1648 -0.0478   True
     0     17   -0.113    0.0 -0.1715 -0.0545   True
     0     18  -0.0597 0.0387 -0.1182 -0.0012   True
     0     19  -0.0572 0.0646 -0.1157  0.0013  False
     0     20  -0.0517  0.173 -0.1102  0.0068  False
     0     21  -0.1181    0.0 -0.1766 -0.0596   True
     0     22  -0.1135    0.0  -0.172  -0.055   True
     0     23  -0.0121    1.0 -0.0706  0.0464  False
     0     24  -0.0191    1.0 -0.0776  0.0394  False
     0     25  -0.1135    0.0  -0.172  -0.055   True
     0     26  -0.0174    1.0 -0.0759  0.0411  False
     0     27  -0.0365 0.8433  -0.095   0.022  False
     0     28  -0.0063    1.0 -0.0648  0.0522  False
     0     29  -0.0783 0.0004 -0.1368 -0.0198   True
     0     30  -0.1028    0.0 -0.1613 -0.0443   True
     0     31  -0.0045    1.0  -0.063   0.054  False
     1      3   0.1939    0.0  0.1354  0.2524   True
     1      4   0.1766    0.0  0.1181  0.2351   True
     1      5   0.2071    0.0  0.1486  0.2656   True
     1      6   0.1977    0.0  0.1392  0.2562   True
     1      7   0.2018    0.0  0.1433  0.2603   True
     1      8   0.1695    0.0   0.111   0.228   True
     1      9   0.1698    0.0  0.1113  0.2283   True
     1     10   0.2482    0.0  0.1897  0.3067   True
     1     11    0.247    0.0  0.1885  0.3055   True
     1     12   0.1949    0.0  0.1364  0.2534   True
     1     13   0.2363    0.0  0.1778  0.2948   True
     1     14   0.2265    0.0   0.168   0.285   True
     1     15   0.2523    0.0  0.1938  0.3108   True
     1     16   0.1845    0.0   0.126   0.243   True
     1     17   0.1778    0.0  0.1193  0.2363   True
     1     18   0.2311    0.0  0.1726  0.2896   True
     1     19   0.2336    0.0  0.1751  0.2921   True
     1     20   0.2391    0.0  0.1806  0.2976   True
     1     21   0.1727    0.0  0.1142  0.2312   True
     1     22   0.1773    0.0  0.1188  0.2358   True
     1     23   0.2788    0.0  0.2203  0.3373   True
     1     24   0.2717    0.0  0.2132  0.3302   True
     1     25   0.1773    0.0  0.1188  0.2358   True
     1     26   0.2735    0.0   0.215   0.332   True
     1     27   0.2544    0.0  0.1959  0.3129   True
     1     28   0.2845    0.0   0.226   0.343   True
     1     29   0.2126    0.0  0.1541  0.2711   True
     1     30    0.188    0.0  0.1295  0.2465   True
     1     31   0.2863    0.0  0.2278  0.3448   True
     3      4  -0.0173    1.0 -0.0758  0.0412  False
     3      5   0.0132    1.0 -0.0453  0.0717  False
     3      6   0.0038    1.0 -0.0547  0.0623  False
     3      7   0.0079    1.0 -0.0506  0.0664  False
     3      8  -0.0244 0.9991 -0.0829  0.0341  False
     3      9  -0.0241 0.9993 -0.0826  0.0344  False
     3     10   0.0543 0.1116 -0.0042  0.1128  False
     3     11   0.0531 0.1379 -0.0054  0.1116  False
     3     12    0.001    1.0 -0.0575  0.0595  False
     3     13   0.0424 0.5707 -0.0161  0.1009  False
     3     14   0.0326 0.9463 -0.0259  0.0911  False
     3     15   0.0584 0.0512 -0.0001  0.1169  False
     3     16  -0.0094    1.0 -0.0679  0.0491  False
     3     17  -0.0161    1.0 -0.0746  0.0424  False
     3     18   0.0372  0.816 -0.0213  0.0957  False
     3     19   0.0397 0.7051 -0.0188  0.0982  False
     3     20   0.0452 0.4283 -0.0133  0.1037  False
     3     21  -0.0212 0.9999 -0.0797  0.0373  False
