Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.0923    0.0 -0.1216  -0.063   True
     0      2  -0.0771    0.0 -0.1064 -0.0478   True
     0      3  -0.1566    0.0 -0.1859 -0.1273   True
     0      4  -0.3594    0.0 -0.3887 -0.3301   True
     0      5  -0.0768    0.0 -0.1061 -0.0475   True
     0      6  -0.0829    0.0 -0.1122 -0.0537   True
     0      7  -0.0162 0.7273 -0.0455  0.0131  False
     0      9  -0.0615    0.0 -0.0908 -0.0322   True
     0     10  -0.0878    0.0 -0.1171 -0.0585   True
     0     11  -0.0711    0.0 -0.1004 -0.0418   True
     1      2   0.0152 0.7931 -0.0141  0.0445  False
     1      3  -0.0643    0.0 -0.0936  -0.035   True
     1      4  -0.2671    0.0 -0.2964 -0.2378   True
     1      5   0.0155 0.7743 -0.0138  0.0448  False
     1      6   0.0094   0.99 -0.0199  0.0387  False
     1      7   0.0761    0.0  0.0468  0.1054   True
     1      9   0.0308 0.0318  0.0015  0.0601   True
     1     10   0.0045    1.0 -0.0248  0.0338  False
     1     11   0.0212 0.3592 -0.0081  0.0505  False
     2      3  -0.0795    0.0 -0.1088 -0.0502   True
     2      4  -0.2823    0.0 -0.3116  -0.253   True
     2      5   0.0003    1.0  -0.029  0.0296  False
     2      6  -0.0059 0.9998 -0.0352  0.0234  False
     2      7   0.0609    0.0  0.0316  0.0901   True
     2      9   0.0156 0.7717 -0.0137  0.0449  False
     2     10  -0.0107 0.9735   -0.04  0.0186  False
     2     11   0.0059 0.9998 -0.0234  0.0352  False
     3      4  -0.2028    0.0 -0.2321 -0.1735   True
     3      5   0.0798    0.0  0.0505  0.1091   True
     3      6   0.0737    0.0  0.0444  0.1029   True
     3      7   0.1404    0.0  0.1111  0.1697   True
     3      9   0.0951    0.0  0.0658  0.1244   True
     3     10   0.0688    0.0  0.0395  0.0981   True
     3     11   0.0855    0.0  0.0562  0.1147   True
     4      5   0.2826    0.0  0.2533  0.3119   True
     4      6   0.2764    0.0  0.2471  0.3057   True
     4      7   0.3432    0.0  0.3139  0.3724   True
     4      9   0.2979    0.0  0.2686  0.3272   True
     4     10   0.2716    0.0  0.2423  0.3009   True
     4     11   0.2882    0.0  0.2589  0.3175   True
     5      6  -0.0062 0.9997 -0.0355  0.0231  False
     5      7   0.0606    0.0  0.0313  0.0899   True
     5      9   0.0153 0.7905  -0.014  0.0446  False
     5     10   -0.011 0.9682 -0.0403  0.0183  False
     5     11   0.0056 0.9999 -0.0237  0.0349  False
     6      7   0.0667    0.0  0.0374   0.096   True
     6      9   0.0214 0.3411 -0.0078  0.0507  False
     6     10  -0.0049    1.0 -0.0341  0.0244  False
     6     11   0.0118   0.95 -0.0175  0.0411  False
     7      9  -0.0453 0.0002 -0.0746  -0.016   True
     7     10  -0.0716    0.0 -0.1009 -0.0423   True
     7     11  -0.0549    0.0 -0.0842 -0.0256   True
     9     10  -0.0263  0.114 -0.0556   0.003  False
     9     11  -0.0096 0.9876 -0.0389  0.0197  False
    10     11   0.0167 0.6954 -0.0126  0.0459  False
----------------------------------------------------
