Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1    -0.07    0.0 -0.1036 -0.0365   True
     0      3  -0.0691    0.0 -0.1027 -0.0356   True
     0      4   -0.058    0.0 -0.0915 -0.0244   True
     0      5  -0.0652    0.0 -0.0988 -0.0317   True
     0      6  -0.0601    0.0 -0.0936 -0.0265   True
     0      9  -0.0581    0.0 -0.0917 -0.0246   True
     0     10  -0.0721    0.0 -0.1056 -0.0385   True
     0     11  -0.0609    0.0 -0.0945 -0.0274   True
     0     12   -0.066    0.0 -0.0996 -0.0325   True
     0     13  -0.0503    0.0 -0.0838 -0.0167   True
     0     14  -0.0408 0.0032 -0.0743 -0.0073   True
     0     15  -0.0468 0.0002 -0.0803 -0.0133   True
     0     16  -0.0618    0.0 -0.0953 -0.0282   True
     0     17  -0.0435  0.001 -0.0771   -0.01   True
     0     20  -0.0437 0.0009 -0.0772 -0.0101   True
     0     21  -0.0679    0.0 -0.1014 -0.0343   True
     0     22  -0.0552    0.0 -0.0887 -0.0216   True
     0     23  -0.0536    0.0 -0.0872 -0.0201   True
     0     24  -0.0522    0.0 -0.0857 -0.0187   True
     0     25  -0.0274 0.2869 -0.0609  0.0062  False
     0     26  -0.0299 0.1526 -0.0634  0.0037  False
     0     27  -0.0468 0.0002 -0.0803 -0.0132   True
     0     28  -0.0327 0.0653 -0.0663  0.0008  False
     0     31  -0.0405 0.0037  -0.074 -0.0069   True
     1      3   0.0009    1.0 -0.0326  0.0344  False
     1      4   0.0121 0.9997 -0.0215  0.0456  False
     1      5   0.0048    1.0 -0.0287  0.0383  False
     1      6     0.01    1.0 -0.0236  0.0435  False
     1      9   0.0119 0.9997 -0.0216  0.0454  False
     1     10   -0.002    1.0 -0.0356  0.0315  False
     1     11   0.0091    1.0 -0.0244  0.0426  False
     1     12    0.004    1.0 -0.0295  0.0375  False
     1     13   0.0198 0.8638 -0.0137  0.0533  False
     1     14   0.0292 0.1818 -0.0043  0.0628  False
     1     15   0.0232 0.6139 -0.0103  0.0568  False
     1     16   0.0083    1.0 -0.0253  0.0418  False
     1     17   0.0265 0.3466  -0.007    0.06  False
     1     20   0.0264 0.3577 -0.0072  0.0599  False
     1     21   0.0022    1.0 -0.0314  0.0357  False
     1     22   0.0149 0.9932 -0.0187  0.0484  False
     1     23   0.0164 0.9778 -0.0171  0.0499  False
     1     24   0.0178  0.946 -0.0157  0.0514  False
     1     25   0.0427 0.0015  0.0091  0.0762   True
     1     26   0.0402 0.0042  0.0066  0.0737   True
     1     27   0.0233 0.6095 -0.0103  0.0568  False
     1     28   0.0373 0.0129  0.0038  0.0708   True
     1     31   0.0296 0.1663  -0.004  0.0631  False
     3      4   0.0112 0.9999 -0.0224  0.0447  False
     3      5   0.0039    1.0 -0.0296  0.0374  False
     3      6   0.0091    1.0 -0.0245  0.0426  False
     3      9    0.011 0.9999 -0.0225  0.0445  False
     3     10  -0.0029    1.0 -0.0365  0.0306  False
     3     11   0.0082    1.0 -0.0253  0.0418  False
     3     12   0.0031    1.0 -0.0304  0.0366  False
     3     13   0.0189 0.9075 -0.0146  0.0524  False
     3     14   0.0283 0.2281 -0.0052  0.0619  False
     3     15   0.0223 0.6875 -0.0112  0.0559  False
     3     16   0.0074    1.0 -0.0262  0.0409  False
     3     17   0.0256 0.4143 -0.0079  0.0592  False
     3     20   0.0255 0.4263 -0.0081   0.059  False
     3     21   0.0013    1.0 -0.0323  0.0348  False
     3     22    0.014 0.9971 -0.0195  0.0475  False
     3     23   0.0155 0.9885  -0.018   0.049  False
     3     24   0.0169 0.9681 -0.0166  0.0505  False
     3     25   0.0418 0.0021  0.0082  0.0753   True
     3     26   0.0393  0.006  0.0057  0.0728   True
     3     27   0.0224 0.6833 -0.0112  0.0559  False
     3     28   0.0364 0.0181  0.0029    0.07   True
     3     31   0.0287 0.2098 -0.0049  0.0622  False
     4      5  -0.0073    1.0 -0.0408  0.0263  False
     4      6  -0.0021    1.0 -0.0356  0.0314  False
     4      9  -0.0002    1.0 -0.0337  0.0334  False
     4     10  -0.0141 0.9967 -0.0476  0.0194  False
     4     11   -0.003    1.0 -0.0365  0.0306  False
     4     12  -0.0081    1.0 -0.0416  0.0255  False
     4     13   0.0077    1.0 -0.0258  0.0413  False
     4     14   0.0172 0.9636 -0.0164  0.0507  False
     4     15   0.0112 0.9999 -0.0224  0.0447  False
     4     16  -0.0038    1.0 -0.0373  0.0297  False
     4     17   0.0144 0.9954 -0.0191   0.048  False
     4     20   0.0143 0.9961 -0.0192  0.0478  False
     4     21  -0.0099    1.0 -0.0434  0.0236  False
     4     22   0.0028    1.0 -0.0307  0.0363  False
     4     23   0.0043    1.0 -0.0292  0.0379  False
     4     24   0.0058    1.0 -0.0278  0.0393  False
     4     25   0.0306 0.1246 -0.0029  0.0641  False
     4     26   0.0281 0.2423 -0.0054  0.0616  False
     4     27   0.0112 0.9999 -0.0223  0.0447  False
     4     28   0.0252 0.4438 -0.0083  0.0588  False
     4     31   0.0175 0.9556  -0.016   0.051  False
     5      6   0.0052    1.0 -0.0284  0.0387  False
     5      9   0.0071    1.0 -0.0264  0.0406  False
     5     10  -0.0068    1.0 -0.0404  0.0267  False
     5     11   0.0043    1.0 -0.0292  0.0378  False
     5     12  -0.0008    1.0 -0.0343  0.0327  False
     5     13    0.015 0.9925 -0.0185  0.0485  False
     5     14   0.0244  0.511 -0.0091   0.058  False
     5     15   0.0184 0.9261 -0.0151   0.052  False
     5     16   0.0035    1.0 -0.0301   0.037  False
     5     17   0.0217 0.7359 -0.0118  0.0553  False
     5     20   0.0216 0.7473  -0.012  0.0551  False
     5     21  -0.0026    1.0 -0.0362  0.0309  False
     5     22   0.0101    1.0 -0.0234  0.0436  False
     5     23   0.0116 0.9998 -0.0219  0.0451  False
     5     24    0.013 0.9989 -0.0205  0.0466  False
     5     25   0.0379 0.0104  0.0043  0.0714   True
     5     26   0.0354 0.0266  0.0018  0.0689   True
     5     27   0.0185 0.9241 -0.0151   0.052  False
     5     28   0.0325 0.0695  -0.001  0.0661  False
     5     31   0.0248  0.483 -0.0088  0.0583  False
     6      9   0.0019    1.0 -0.0316  0.0355  False
     6     10   -0.012 0.9997 -0.0455  0.0215  False
     6     11  -0.0009    1.0 -0.0344  0.0327  False
     6     12   -0.006    1.0 -0.0395  0.0276  False
     6     13   0.0098    1.0 -0.0237  0.0434  False
     6     14   0.0193 0.8903 -0.0143  0.0528  False
     6     15   0.0133 0.9986 -0.0203  0.0468  False
     6     16  -0.0017    1.0 -0.0352  0.0318  False
     6     17   0.0166 0.9754  -0.017  0.0501  False
     6     20   0.0164 0.9779 -0.0171  0.0499  False
     6     21  -0.0078    1.0 -0.0413  0.0257  False
     6     22   0.0049    1.0 -0.0286  0.0385  False
     6     23   0.0064    1.0 -0.0271    0.04  False
     6     24   0.0079    1.0 -0.0257  0.0414  False
     6     25   0.0327 0.0655 -0.0008  0.0662  False
     6     26   0.0302 0.1395 -0.0033  0.0637  False
     6     27   0.0133 0.9985 -0.0202  0.0469  False
     6     28   0.0274 0.2877 -0.0062  0.0609  False
     6     31   0.0196 0.8734 -0.0139  0.0531  False
     9     10  -0.0139 0.9972 -0.0475  0.0196  False
     9     11  -0.0028    1.0 -0.0363  0.0307  False
     9     12  -0.0079    1.0 -0.0414  0.0256  False
     9     13   0.0079    1.0 -0.0256  0.0414  False
     9     14   0.0173 0.9597 -0.0162  0.0509  False
     9     15   0.0113 0.9999 -0.0222  0.0449  False
     9     16  -0.0036    1.0 -0.0372  0.0299  False
     9     17   0.0146 0.9947 -0.0189  0.0481  False
     9     20   0.0145 0.9954 -0.0191   0.048  False
     9     21  -0.0097    1.0 -0.0433  0.0238  False
     9     22    0.003    1.0 -0.0306  0.0365  False
     9     23   0.0045    1.0  -0.029   0.038  False
     9     24   0.0059    1.0 -0.0276  0.0395  False
     9     25   0.0308 0.1187 -0.0028  0.0643  False
     9     26   0.0283 0.2326 -0.0053  0.0618  False
     9     27   0.0114 0.9999 -0.0222  0.0449  False
     9     28   0.0254 0.4303 -0.0081  0.0589  False
     9     31   0.0177 0.9511 -0.0159  0.0512  False
    10     11   0.0112 0.9999 -0.0224  0.0447  False
    10     12    0.006    1.0 -0.0275  0.0396  False
