Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1  -0.0471 0.0003 -0.0785 -0.0157   True
     0      2  -0.0459 0.0005 -0.0773 -0.0145   True
     0      3  -0.1274    0.0 -0.1588  -0.096   True
     0      4  -0.3255    0.0 -0.3569 -0.2941   True
     0      5  -0.0512 0.0001 -0.0826 -0.0198   True
     0      6  -0.0511 0.0001 -0.0825 -0.0197   True
     0      7   0.0133 0.9322 -0.0181  0.0447  False
     0      9   -0.032 0.0425 -0.0634 -0.0006   True
     0     10  -0.0289 0.0958 -0.0603  0.0025  False
     0     11  -0.0395 0.0044 -0.0709 -0.0081   True
     1      2   0.0012    1.0 -0.0302  0.0326  False
     1      3  -0.0803    0.0 -0.1117 -0.0489   True
     1      4  -0.2784    0.0 -0.3098  -0.247   True
     1      5  -0.0041    1.0 -0.0355  0.0273  False
     1      6   -0.004    1.0 -0.0354  0.0274  False
     1      7   0.0604    0.0   0.029  0.0918   True
     1      9   0.0151 0.8594 -0.0163  0.0465  False
     1     10   0.0182 0.6708 -0.0132  0.0496  False
     1     11   0.0076  0.999 -0.0238   0.039  False
     2      3  -0.0815    0.0 -0.1128 -0.0501   True
     2      4  -0.2796    0.0  -0.311 -0.2482   True
     2      5  -0.0052    1.0 -0.0366  0.0261  False
     2      6  -0.0052    1.0 -0.0366  0.0262  False
     2      7   0.0592    0.0  0.0278  0.0906   True
     2      9   0.0139 0.9098 -0.0174  0.0453  False
     2     10    0.017 0.7496 -0.0144  0.0484  False
     2     11   0.0064 0.9998  -0.025  0.0378  False
     3      4  -0.1981    0.0 -0.2295 -0.1667   True
     3      5   0.0762    0.0  0.0448  0.1076   True
     3      6   0.0763    0.0  0.0449  0.1077   True
     3      7   0.1407    0.0  0.1093   0.172   True
     3      9   0.0954    0.0   0.064  0.1268   True
     3     10   0.0985    0.0  0.0671  0.1299   True
     3     11   0.0879    0.0  0.0565  0.1193   True
     4      5   0.2743    0.0  0.2429  0.3057   True
     4      6   0.2744    0.0   0.243  0.3058   True
     4      7   0.3388    0.0  0.3074  0.3702   True
     4      9   0.2935    0.0  0.2621  0.3249   True
     4     10   0.2966    0.0  0.2652   0.328   True
     4     11    0.286    0.0  0.2546  0.3174   True
     5      6   0.0001    1.0 -0.0313  0.0315  False
     5      7   0.0644    0.0  0.0331  0.0958   True
     5      9   0.0192 0.6008 -0.0122  0.0506  False
     5     10   0.0223 0.3846 -0.0091  0.0537  False
     5     11   0.0117 0.9707 -0.0197   0.043  False
     6      7   0.0644    0.0   0.033  0.0958   True
     6      9   0.0191 0.6059 -0.0123  0.0505  False
     6     10   0.0222 0.3892 -0.0092  0.0536  False
     6     11   0.0116 0.9719 -0.0198   0.043  False
     7      9  -0.0453 0.0006 -0.0766 -0.0139   True
     7     10  -0.0422 0.0018 -0.0736 -0.0108   True
     7     11  -0.0528    0.0 -0.0842 -0.0214   True
     9     10   0.0031    1.0 -0.0283  0.0345  False
     9     11  -0.0075  0.999 -0.0389  0.0239  False
    10     11  -0.0106 0.9849  -0.042  0.0208  False
----------------------------------------------------
