Layer,Activations Shape,Accuracy,F1 Score
0,"torch.Size([5428, 71, 768])",0.6721915285451197,0.6721859696050649
1,"torch.Size([5428, 71, 768])",0.5994475138121547,0.5994526082275525
2,"torch.Size([5428, 71, 768])",0.6003683241252302,0.6002381796440525
4,"torch.Size([5428, 71, 768])",0.496316758747698,0.32924890211078056
5,"torch.Size([5428, 71, 768])",0.5994475138121547,0.5994526082275525
6,"torch.Size([5428, 71, 768])",0.5994475138121547,0.5994526082275525
7,"torch.Size([5428, 71, 768])",0.6721915285451197,0.6721859696050649
9,"torch.Size([5428, 71, 768])",0.6049723756906077,0.6049211262563859
10,"torch.Size([5428, 71, 768])",0.5948434622467772,0.594781621812488
11,"torch.Size([5428, 71, 768])",0.5957642725598526,0.5957666718961735
