Layer,Activations Shape,Accuracy,F1 Score
0,"torch.Size([32, 33, 768])",0.5714285714285714,0.5904761904761904
0,"torch.Size([32, 30, 768])",0.42857142857142855,0.34285714285714286
0,"torch.Size([32, 62, 768])",0.14285714285714285,0.10714285714285714
0,"torch.Size([32, 38, 768])",0.2857142857142857,0.3174603174603175
0,"torch.Size([32, 39, 768])",0.2857142857142857,0.19047619047619047
0,"torch.Size([32, 34, 768])",0.42857142857142855,0.38095238095238093
0,"torch.Size([32, 38, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 43, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 31, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 33, 768])",0.0,0.0
0,"torch.Size([32, 36, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 40, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 59, 768])",0.42857142857142855,0.42857142857142855
0,"torch.Size([32, 38, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 38, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 37, 768])",0.5714285714285714,0.5904761904761904
0,"torch.Size([32, 42, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 40, 768])",0.2857142857142857,0.3174603174603175
0,"torch.Size([32, 30, 768])",0.42857142857142855,0.42857142857142855
0,"torch.Size([32, 41, 768])",0.42857142857142855,0.5142857142857142
0,"torch.Size([32, 34, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 42, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 45, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 32, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 36, 768])",0.5714285714285714,0.6285714285714287
0,"torch.Size([32, 41, 768])",0.42857142857142855,0.5142857142857142
0,"torch.Size([32, 41, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 39, 768])",0.5714285714285714,0.5904761904761904
0,"torch.Size([32, 28, 768])",0.5714285714285714,0.5904761904761904
0,"torch.Size([32, 30, 768])",0.8571428571428571,0.8571428571428571
0,"torch.Size([32, 48, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 43, 768])",0.5714285714285714,0.5523809523809524
0,"torch.Size([32, 37, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 40, 768])",0.5714285714285714,0.5194805194805195
0,"torch.Size([32, 31, 768])",0.7142857142857143,0.7571428571428572
0,"torch.Size([32, 33, 768])",0.5714285714285714,0.5523809523809524
0,"torch.Size([32, 35, 768])",0.5714285714285714,0.5523809523809524
0,"torch.Size([32, 30, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 40, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 33, 768])",0.14285714285714285,0.03571428571428571
0,"torch.Size([32, 38, 768])",0.7142857142857143,0.7261904761904762
0,"torch.Size([32, 33, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 45, 768])",0.2857142857142857,0.25396825396825395
0,"torch.Size([32, 39, 768])",0.5714285714285714,0.4155844155844156
0,"torch.Size([32, 30, 768])",0.8571428571428571,0.8398268398268397
0,"torch.Size([32, 38, 768])",0.5714285714285714,0.5523809523809524
0,"torch.Size([32, 36, 768])",0.8571428571428571,0.8398268398268397
