Layer,Activations Shape,Accuracy,F1 Score
0,"torch.Size([5428, 73, 768])",0.64548802946593,0.6454684884631505
1,"torch.Size([5428, 73, 768])",0.5976058931860037,0.5974308108714027
2,"torch.Size([5428, 73, 768])",0.6123388581952118,0.6123174925908199
3,"torch.Size([5428, 73, 768])",0.5165745856353591,0.49201781599151234
4,"torch.Size([5428, 73, 768])",0.496316758747698,0.32924890211078056
5,"torch.Size([5428, 73, 768])",0.5976058931860037,0.5974308108714027
6,"torch.Size([5428, 73, 768])",0.5976058931860037,0.5974308108714027
7,"torch.Size([5428, 73, 768])",0.64548802946593,0.6454684884631505
9,"torch.Size([5428, 73, 768])",0.6086556169429097,0.6086207746443996
10,"torch.Size([5428, 73, 768])",0.6003683241252302,0.6003073269695904
11,"torch.Size([5428, 73, 768])",0.5893186003683242,0.5890510418649757
