Layer,GDV
0,0.0
1,-0.33225516287193907
2,-0.3379763329864699
3,-0.34146712043206146
4,-0.3421682750675856
5,-0.3454976228765283
6,-0.3461356436589363
7,-0.3471724721592152
8,-0.3483070869701689
9,-0.3492469953889531
10,-0.346176641091761
11,-0.34506015834595194
12,-0.3445918650130283
13,-0.34466238670383276
14,-0.34490302728471234
15,-0.3443979675075097
16,-0.3465841111489615
17,-0.34706757875026345
18,-0.3464000326744475
19,-0.34526072140695896
20,-0.3448938037916973
21,-0.3460181083036746
22,-0.3453031033038906
23,-0.3450292261453533
24,-0.34563093736376904
25,-0.3456602174993901
26,-0.3472427954929366
27,-0.34661707310994394
28,-0.3488579470185012
