
Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 8192])",0.6593001841620626,0.659225069897181,0.6878453038674033,0.6878360402921256,0.6675874769797422,0.6675060024238681,0.649171270718232,0.6490698248326794,0.6795580110497238,0.6795873627218919
1,"torch.Size([5428, 8192])",0.5543278084714549,0.5536187883178876,0.5598526703499079,0.5568881691685807,0.5497237569060773,0.549217624365486,0.585635359116022,0.5856184867328232,0.5580110497237569,0.5579164690606384
2,"torch.Size([5428, 8192])",0.5607734806629834,0.5581950492675737,0.5441988950276243,0.5414321007611719,0.5681399631675875,0.562158251502098,0.567219152854512,0.5630272346149253,0.5368324125230203,0.5341774135755061
4,"torch.Size([5428, 8192])",0.6261510128913443,0.6258668068146631,0.6114180478821363,0.6112532962200778,0.6215469613259669,0.6215710406237274,0.6132596685082873,0.6132176864175847,0.6086556169429097,0.6085311615894059
5,"torch.Size([5428, 8192])",0.6206261510128913,0.620605563987221,0.6123388581952118,0.6124918258437789,0.5893186003683242,0.589343672067669,0.6068139963167587,0.6067269222752747,0.6040515653775322,0.6040327647260554
6,"torch.Size([5428, 8192])",0.5976058931860037,0.597682665442808,0.6187845303867403,0.6186836249753455,0.6187845303867403,0.6187845303867403,0.583793738489871,0.5838925833996272,0.6344383057090239,0.6344057540452698
8,"torch.Size([5428, 8192])",0.6178637200736649,0.6177039439159423,0.6261510128913443,0.6262270982038188,0.6031307550644567,0.6031526308363995,0.6307550644567219,0.6307729154631179,0.6197053406998159,0.619599056020398
9,"torch.Size([5428, 8192])",0.5920810313075506,0.5920841441499133,0.6058931860036832,0.6058062546106135,0.6022099447513812,0.6020612962840793,0.6160220994475138,0.616421339395006,0.5911602209944752,0.590972886051749
10,"torch.Size([5428, 8192])",0.585635359116022,0.5855679004850276,0.6187845303867403,0.6185776186539924,0.583793738489871,0.5833530694468714,0.6141804788213628,0.6141690289186255,0.6197053406998159,0.6191637452105093
11,"torch.Size([5428, 8192])",0.6068139963167587,0.6068229981713094,0.576427255985267,0.5765306950086093,0.6325966850828729,0.6327303455418851,0.6141804788213628,0.6141886573233181,0.6022099447513812,0.6019453390937816
12,"torch.Size([5428, 8192])",0.6325966850828729,0.6325677136695138,0.6325966850828729,0.6325789284101689,0.6141804788213628,0.6135223302726495,0.6197053406998159,0.6197391985267647,0.6279926335174953,0.6280607833770122
13,"torch.Size([5428, 8192])",0.6123388581952118,0.6124450525853756,0.6160220994475138,0.6160172158355117,0.6104972375690608,0.610512099410084,0.6187845303867403,0.6188983538488002,0.6040515653775322,0.6040945470418229
14,"torch.Size([5428, 32768])",0.6077348066298343,0.6077268232940919,0.6040515653775322,0.6040408217108566,0.6206261510128913,0.6205540494712702,0.5865561694290976,0.5863383397801938,0.5957642725598526,0.5957186731062745
15,"torch.Size([5428, 8192])",0.6206261510128913,0.6205811136865049,0.580110497237569,0.5802130534877137,0.6187845303867403,0.6188039247431513,0.6169429097605893,0.6167557387896371,0.6123388581952118,0.6123700937467191
16,"torch.Size([5428, 32768])",0.6261510128913443,0.6261510128913443,0.6141804788213628,0.6141853858226793,0.6279926335174953,0.6280367999280344,0.6077348066298343,0.6077108592219398,0.6058931860036832,0.6058504129600574
17,"torch.Size([5428, 8192])",0.5874769797421732,0.5874350032049587,0.6068139963167587,0.6067929925593981,0.6482504604051565,0.648233758600992,0.6114180478821363,0.6115195679627295,0.6178637200736649,0.61788996669876
18,"torch.Size([5428, 8192])",0.638121546961326,0.6380506611012409,0.647329650092081,0.6472946590081428,0.6344383057090239,0.6348790684800337,0.6482504604051565,0.6483077359717578,0.6215469613259669,0.6218728942134893
19,"torch.Size([5428, 8192])",0.6003683241252302,0.6003683241252302,0.6243093922651933,0.6243450752265793,0.6114180478821363,0.6112915018658759,0.6022099447513812,0.6022153412954343,0.6114180478821363,0.6114496843862014
20,"torch.Size([5428, 8192])",0.6316758747697975,0.6321485902246383,0.6233885819521179,0.623127612999928,0.6427255985267035,0.6427934695733392,0.6197053406998159,0.6199849722087571,0.6224677716390423,0.6225241134259112
22,"torch.Size([5428, 8192])",0.6187845303867403,0.6188194402282801,0.6178637200736649,0.617869876271816,0.6307550644567219,0.6307478636177176,0.6104972375690608,0.6106390483917774,0.6206261510128913,0.6208102205970679
23,"torch.Size([5428, 8192])",0.6261510128913443,0.6260952207804451,0.5985267034990792,0.5985267034990792,0.5976058931860037,0.5976997692479138,0.6086556169429097,0.6086685745410753,0.5994475138121547,0.5994417387703094
24,"torch.Size([5428, 8192])",0.5874769797421732,0.5874699842221042,0.6316758747697975,0.6316833699698713,0.6086556169429097,0.608732274679643,0.6252302025782689,0.6253735289259293,0.6187845303867403,0.6188233212046127
25,"torch.Size([5428, 8192])",0.5985267034990792,0.5983769122249118,0.6160220994475138,0.6161716292607297,0.6012891344383057,0.6014558406462427,0.6031307550644567,0.6031681502058142,0.5699815837937385,0.570001637714762
26,"torch.Size([5428, 8192])",0.6482504604051565,0.648260004778808,0.6390423572744015,0.6386304059417075,0.6270718232044199,0.6270822579725107,0.6114180478821363,0.6114892341215327,0.6390423572744015,0.6388603287507426
27,"torch.Size([5428, 8192])",0.6464088397790055,0.646378856538138,0.6325966850828729,0.633066007438414,0.6197053406998159,0.6196585522804391,0.6151012891344383,0.6150960672127285,0.64548802946593,0.6454925383775092
