
Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 4096])",0.639963167587477,0.640239261246302,0.641804788213628,0.6417747187869127,0.6500920810313076,0.6501526064141165,0.6583793738489871,0.6584828068398317,0.643646408839779,0.643485133434364
1,"torch.Size([5428, 4096])",0.5902394106813996,0.5879539752519498,0.5681399631675875,0.565377233966052,0.5791896869244936,0.5771797963496329,0.5589318600368324,0.5548102416257039,0.570902394106814,0.5692667629705922
3,"torch.Size([5428, 4096])",0.5865561694290976,0.5851601162811472,0.58195211786372,0.580827344461135,0.5994475138121547,0.5966404177530219,0.5948434622467772,0.5933154731998315,0.5828729281767956,0.578548595600064
5,"torch.Size([5428, 4096])",0.5966850828729282,0.596819223241017,0.5994475138121547,0.5990786374372365,0.5920810313075506,0.592200379599019,0.6243093922651933,0.6243119406591477,0.6252302025782689,0.6251745926687927
6,"torch.Size([5428, 4096])",0.6058931860036832,0.6059466561165637,0.6012891344383057,0.6015072270714245,0.6132596685082873,0.6129709858146574,0.5810313075506446,0.5810089264977193,0.6049723756906077,0.605027651437731
7,"torch.Size([5428, 4096])",0.583793738489871,0.5838699667428949,0.6058931860036832,0.6058744727970968,0.5718232044198895,0.571922320511416,0.572744014732965,0.572744014732965,0.6022099447513812,0.6022099447513812
8,"torch.Size([5428, 4096])",0.5930018416206262,0.5929935584412878,0.5920810313075506,0.5919250274451094,0.580110497237569,0.5802529538710989,0.6086556169429097,0.6087541735471825,0.6160220994475138,0.61593711941076
10,"torch.Size([5428, 4096])",0.565377532228361,0.5654807508066902,0.5911602209944752,0.5911824259907381,0.6114180478821363,0.6113653289596116,0.5736648250460405,0.573657954708583,0.5911602209944752,0.5910977760135664
11,"torch.Size([5428, 4096])",0.5920810313075506,0.5919616830160824,0.5985267034990792,0.5983850134528048,0.6151012891344383,0.6152842947466874,0.5920810313075506,0.5919166922420191,0.5976058931860037,0.5975646053719447
12,"torch.Size([5428, 4096])",0.5902394106813996,0.5903280078660652,0.5930018416206262,0.593068107055333,0.5976058931860037,0.5975939514020031,0.6123388581952118,0.6121169469790114,0.6068139963167587,0.6066968291408761
13,"torch.Size([5428, 4096])",0.6058931860036832,0.6058744699406033,0.6012891344383057,0.6013314147948764,0.6132596685082873,0.6129105360433987,0.6104972375690608,0.6104903019021103,0.6178637200736649,0.6177843342876477
14,"torch.Size([5428, 4096])",0.5773480662983426,0.5770692946297082,0.6031307550644567,0.6031398412455137,0.5865561694290976,0.5864057595391317,0.58195211786372,0.5819436098016848,0.570902394106814,0.5710188586528224
15,"torch.Size([5428, 4096])",0.5847145488029466,0.5847022244446303,0.5994475138121547,0.5991976298162422,0.6104972375690608,0.6103792920272989,0.5902394106813996,0.5900395310280504,0.6095764272559853,0.6096452866637948
16,"torch.Size([5428, 4096])",0.6197053406998159,0.619382840141984,0.6058931860036832,0.6058931860036832,0.5985267034990792,0.598532150288231,0.5985267034990792,0.5985185336478727,0.6104972375690608,0.610368075771098
17,"torch.Size([5428, 16384])",0.5939226519337016,0.5939553713593899,0.5939226519337016,0.5939209303843138,0.6104972375690608,0.610368075771098,0.5957642725598526,0.5957632443077332,0.5930018416206262,0.5929107003702087
18,"torch.Size([5428, 4096])",0.5966850828729282,0.5967918378733894,0.6114180478821363,0.6113587372837952,0.6151012891344383,0.6151404547428215,0.6206261510128913,0.6206454511530816,0.6022099447513812,0.6021060443638163
19,"torch.Size([5428, 16384])",0.6068139963167587,0.606847003116778,0.6243093922651933,0.6243794780907211,0.6114180478821363,0.6111539076677976,0.6215469613259669,0.6213014358045746,0.6307550644567219,0.6304187395542893
20,"torch.Size([5428, 4096])",0.6114180478821363,0.6112004280612817,0.6206261510128913,0.6205489465244548,0.5883977900552486,0.5883862731630595,0.6178637200736649,0.6176644158063833,0.585635359116022,0.5858885995382582
21,"torch.Size([5428, 4096])",0.6068139963167587,0.6068103291433007,0.6095764272559853,0.6095843721680636,0.6022099447513812,0.6021856603031418,0.5883977900552486,0.5884386282132652,0.6206261510128913,0.6207394246031538
22,"torch.Size([5428, 4096])",0.6022099447513812,0.6022261352072087,0.6022099447513812,0.6022504192435973,0.6095764272559853,0.6095605366234138,0.6151012891344383,0.6137939526318044,0.5939226519337016,0.5932132126121015
23,"torch.Size([5428, 4096])",0.6464088397790055,0.6463908508107403,0.6022099447513812,0.6017352258971984,0.6095764272559853,0.6097883368566741,0.6261510128913443,0.6260444544178976,0.6261510128913443,0.6262841680597514
