Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 1536])",0.6906077348066298,0.6905867465380227,0.6906077348066298,0.6905447272583256,0.6749539594843462,0.6749536838802945,0.6878453038674033,0.6877199167947253,0.7090239410681399,0.709095134403047
1,"torch.Size([5428, 1536])",0.5920810313075506,0.5919596131598902,0.6104972375690608,0.6104903021373398,0.5865561694290976,0.5865095312635927,0.580110497237569,0.5801446762772728,0.5948434622467772,0.594802237527836
2,"torch.Size([5428, 1536])",0.5865561694290976,0.5864520437436725,0.5985267034990792,0.5984776835605564,0.567219152854512,0.5672631923826683,0.565377532228361,0.5653480412059811,0.5626151012891344,0.5625872865748475
4,"torch.Size([5428, 1536])",0.47790055248618785,0.3090721330097589,0.494475138121547,0.32721275313773346,0.4889502762430939,0.32112875285724535,0.4953959484346225,0.3282303205145652,0.49263351749539597,0.325180668550323
5,"torch.Size([5428, 1536])",0.5755064456721916,0.5755543176239798,0.58195211786372,0.5822245791692167,0.5847145488029466,0.5850969073671005,0.5957642725598526,0.5959490327363087,0.5939226519337016,0.5940552247254641
6,"torch.Size([5428, 1536])",0.5828729281767956,0.5830814147248902,0.5883977900552486,0.5885707017785283,0.5939226519337016,0.5939546729695195,0.5893186003683242,0.5890256630367208,0.5920810313075506,0.5918680169825689
7,"torch.Size([5428, 1536])",0.6823204419889503,0.6823648905926023,0.6915285451197053,0.6913691472842015,0.6860036832412523,0.6860167292909062,0.6942909760589319,0.6942411972942418,0.6998158379373849,0.6997751003386737
9,"torch.Size([5428, 1536])",0.5966850828729282,0.5967124406315558,0.585635359116022,0.5849761461633252,0.5976058931860037,0.5977420775599779,0.6031307550644567,0.6031566668036311,0.6022099447513812,0.6022274935185803
10,"torch.Size([5428, 1536])",0.5911602209944752,0.5909353434995295,0.5791896869244936,0.5791736032396666,0.5948434622467772,0.5948819395646388,0.5902394106813996,0.5899755910246507,0.6003683241252302,0.600472705533108
11,"torch.Size([5428, 1536])",0.5985267034990792,0.5986247457038122,0.6279926335174953,0.6280304853048867,0.583793738489871,0.5832733392501466,0.5994475138121547,0.5994873012606394,0.5580110497237569,0.5583622097759244
