
Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 2048])",0.6243093922651933,0.6243234139960268,0.6169429097605893,0.6171379331243882,0.6197053406998159,0.6196508390666089,0.6372007366482505,0.6372007366482505,0.6298342541436464,0.6296081020506257
1,"torch.Size([5428, 2048])",0.5451197053406999,0.5444148312463566,0.5276243093922652,0.5277440830503409,0.5432780847145487,0.5357869599748754,0.5497237569060773,0.5461857012461757,0.5626151012891344,0.5625709587279024
2,"torch.Size([5428, 2048])",0.5847145488029466,0.5847416618394967,0.56353591160221,0.5630024184460324,0.6003683241252302,0.6003845891507033,0.6077348066298343,0.6076709442762925,0.6132596685082873,0.6130549328909644
4,"torch.Size([5428, 2048])",0.585635359116022,0.5858674181666963,0.6197053406998159,0.6196805111214423,0.6058931860036832,0.6057461057776617,0.6086556169429097,0.6088020032536071,0.5948434622467772,0.594781621812488
5,"torch.Size([5428, 2048])",0.5920810313075506,0.5920467865572587,0.5773480662983426,0.5773548752018399,0.5865561694290976,0.5868250840808551,0.5828729281767956,0.5828683303516957,0.5911602209944752,0.5911505147103795
6,"torch.Size([5428, 2048])",0.6104972375690608,0.6104929442356893,0.6141804788213628,0.6141494005139329,0.583793738489871,0.5837542117906133,0.6151012891344383,0.6147877515726383,0.5920810313075506,0.5920218692439594
7,"torch.Size([5428, 6144])",0.6104972375690608,0.6104889809907146,0.5957642725598526,0.5958483331531136,0.578268876611418,0.5784692558957776,0.5957642725598526,0.5957982069514415,0.5976058931860037,0.5975782568608178
8,"torch.Size([5428, 2048])",0.5828729281767956,0.5830232784041496,0.6040515653775322,0.604142971181288,0.5920810313075506,0.5920640829204636,0.6031307550644567,0.6026671050680826,0.5920810313075506,0.5917748769946538
10,"torch.Size([5428, 2048])",0.5883977900552486,0.5885461488888629,0.6031307550644567,0.6030105788741509,0.5773480662983426,0.5772566662867292,0.5948434622467772,0.5947747506531224,0.5810313075506446,0.5808660894084167
11,"torch.Size([5428, 2048])",0.5883977900552486,0.5884260605164957,0.6040515653775322,0.6040945400442348,0.6123388581952118,0.612481867645652,0.6215469613259669,0.6214657404428778,0.6289134438305709,0.6289584439684005
12,"torch.Size([5428, 8192])",0.6206261510128913,0.6207962709254703,0.5966850828729282,0.5966234817431129,0.5791896869244936,0.5790337169093422,0.5883977900552486,0.5882584893340439,0.5930018416206262,0.5928472075865387
13,"torch.Size([5428, 8192])",0.6086556169429097,0.6084813794480044,0.6077348066298343,0.6075538338316989,0.6077348066298343,0.6070912640345318,0.6058931860036832,0.6058931860036832,0.5865561694290976,0.5863117723133923
14,"torch.Size([5428, 2048])",0.5948434622467772,0.5948297164312611,0.5626151012891344,0.562350563022493,0.5966850828729282,0.5962893807713199,0.5699815837937385,0.5697901275346308,0.5948434622467772,0.5948159784483046
15,"torch.Size([5428, 2048])",0.6068139963167587,0.6069290637257801,0.5966850828729282,0.5966563567392297,0.6141804788213628,0.6142030611372316,0.6169429097605893,0.6172431397619645,0.5966850828729282,0.5965427428723132
16,"torch.Size([5428, 2048])",0.6003683241252302,0.6004496511834376,0.6077348066298343,0.6075764634886841,0.6049723756906077,0.6049244742678893,0.5828729281767956,0.5828060801527836,0.5644567219152854,0.564437883330507
17,"torch.Size([5428, 2048])",0.585635359116022,0.5856381698446482,0.578268876611418,0.5782745979474745,0.6307550644567219,0.6307240693307634,0.5920810313075506,0.5921707160201178,0.6187845303867403,0.618536074482609
18,"torch.Size([5428, 6144])",0.569060773480663,0.5691133960317537,0.5874769797421732,0.5874769797421732,0.5791896869244936,0.5793070795095443,0.585635359116022,0.5856592734251442,0.5681399631675875,0.5680714724988969
19,"torch.Size([5428, 2048])",0.5773480662983426,0.577481024509457,0.6012891344383057,0.6012536370071462,0.6086556169429097,0.6086805034549106,0.583793738489871,0.5835763173084851,0.5902394106813996,0.590261307121151
21,"torch.Size([5428, 2048])",0.5893186003683242,0.5893979954293029,0.6040515653775322,0.6040690229477043,0.5966850828729282,0.596608481148771,0.5930018416206262,0.5927807918830535,0.6049723756906077,0.6051033695708111
22,"torch.Size([5428, 2048])",0.583793738489871,0.583793738489871,0.5911602209944752,0.5910825541266755,0.6040515653775322,0.6041079734540219,0.6233885819521179,0.6233799600932308,0.6095764272559853,0.6093261217768515
23,"torch.Size([5428, 8192])",0.580110497237569,0.580110497237569,0.5828729281767956,0.5828846007666242,0.5810313075506446,0.5809165298827542,0.5920810313075506,0.5922384091876445,0.6252302025782689,0.6251103199986455
