Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 8192])",0.6850828729281768,0.685050830621839,0.6804788213627992,0.6805072684958533,0.6795580110497238,0.679553663833681,0.6593001841620626,0.659259734726668,0.6758747697974218,0.6758747697974218
1,"torch.Size([5428, 8192])",0.5469613259668509,0.5419560311693512,0.5331491712707183,0.5313726051743923,0.572744014732965,0.5720475176386357,0.5432780847145487,0.5431540568074945,0.5488029465930019,0.5489437385969954
3,"torch.Size([5428, 8192])",0.5920810313075506,0.5924876453048525,0.576427255985267,0.5755707669808255,0.5791896869244936,0.5778218556104956,0.583793738489871,0.5826961780155735,0.5847145488029466,0.5823131756886551
4,"torch.Size([5428, 8192])",0.5736648250460405,0.5731667509200052,0.5570902394106814,0.5571612602713244,0.567219152854512,0.5652651825409025,0.5773480662983426,0.5766063733793474,0.5451197053406999,0.5450733872917976
5,"torch.Size([5428, 8192])",0.570902394106814,0.5699468791099678,0.5524861878453039,0.5518221080325046,0.565377532228361,0.5646955005576505,0.570902394106814,0.5700044472543343,0.5534069981583793,0.550658762856494
6,"torch.Size([5428, 8192])",0.5874769797421732,0.587261375132277,0.5570902394106814,0.556338968547111,0.5810313075506446,0.5805971585780249,0.5985267034990792,0.5976092530876103,0.56353591160221,0.5629796210441685
7,"torch.Size([5428, 8192])",0.565377532228361,0.5635120281817585,0.5681399631675875,0.5665428452010013,0.5626151012891344,0.5622123558454919,0.5543278084714549,0.5543278084714549,0.5423572744014733,0.5423319616791853
8,"torch.Size([5428, 8192])",0.5524861878453039,0.5520073732382662,0.5773480662983426,0.5761858116772461,0.5755064456721916,0.5754686143020387,0.5515653775322283,0.5515414224272291,0.5570902394106814,0.5564889763673344
9,"torch.Size([5428, 8192])",0.5432780847145487,0.5434038649237768,0.570902394106814,0.5682546955524395,0.5755064456721916,0.5711304702481893,0.5561694290976059,0.5464889531576088,0.567219152854512,0.56589229616277
10,"torch.Size([5428, 22016])",0.6151012891344383,0.6152370812063892,0.638121546961326,0.6372249913384882,0.6114180478821363,0.6113587372837952,0.6197053406998159,0.6194352310799944,0.6427255985267035,0.64255091891101
11,"torch.Size([5428, 22016])",0.6012891344383057,0.6012231994562001,0.6068139963167587,0.6065546597099901,0.6141804788213628,0.6140774275996517,0.6307550644567219,0.6307710354345151,0.6141804788213628,0.6142194092828982
12,"torch.Size([5428, 8192])",0.565377532228361,0.5646731221993194,0.576427255985267,0.5723531023147513,0.5985267034990792,0.5975506777385003,0.5681399631675875,0.5652204924822984,0.5506445672191529,0.5492106888131266
13,"torch.Size([5428, 22016])",0.6151012891344383,0.615128707292268,0.6077348066298343,0.6064670293889042,0.6206261510128913,0.6206004088492886,0.5994475138121547,0.5995844943430568,0.6068139963167587,0.605909454176209
14,"torch.Size([5428, 8192])",0.5515653775322283,0.5507691944186738,0.5497237569060773,0.5480585315635174,0.5810313075506446,0.5795229973215391,0.576427255985267,0.5754538995760998,0.5607734806629834,0.5608349356889024
