
Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 8192])",0.6556169429097606,0.6555818999969967,0.6482504604051565,0.6483077266470649,0.6583793738489871,0.6583315754954946,0.643646408839779,0.6436400634423562,0.649171270718232,0.6488111714430953
1,"torch.Size([5428, 8192])",0.48250460405156537,0.3140775310844972,0.4714548802946593,0.30210875933775416,0.4871086556169429,0.3191089521007589,0.4880294659300184,0.3201183378006309,0.5451197053406999,0.5450780496360607
3,"torch.Size([5428, 8192])",0.5534069981583793,0.5529958143366174,0.565377532228361,0.5632643021412362,0.5543278084714549,0.5543610621757827,0.5607734806629834,0.559859254565091,0.5395948434622467,0.5395104995767062
4,"torch.Size([5428, 8192])",0.5313075506445673,0.503973829378867,0.5368324125230203,0.535182455660542,0.5598526703499079,0.5598347559103581,0.5561694290976059,0.5470357767316882,0.5377532228360957,0.5376826685224294
5,"torch.Size([5428, 8192])",0.56353591160221,0.5628547711949796,0.565377532228361,0.5641374746452512,0.5662983425414365,0.5648971431986148,0.5874769797421732,0.5851576532187922,0.5598526703499079,0.5589735956310339
6,"torch.Size([5428, 2048])",0.5552486187845304,0.554192966559611,0.5377532228360957,0.5320993742137243,0.5552486187845304,0.5545209079957554,0.580110497237569,0.5790401660372868,0.5699815837937385,0.5693550037455704
7,"torch.Size([5428, 2048])",0.5791896869244936,0.574252208955233,0.569060773480663,0.5691090050931384,0.569060773480663,0.5674643381606075,0.5359116022099447,0.5320773786601127,0.5681399631675875,0.5663609662578023
8,"torch.Size([5428, 8192])",0.5340699815837937,0.5284891597634271,0.5432780847145487,0.5423564642172766,0.5340699815837937,0.5322316682679561,0.5340699815837937,0.5306647506799688,0.5202578268876611,0.5141787793309106
9,"torch.Size([5428, 8192])",0.5128913443830571,0.5125852063008015,0.5276243093922652,0.5275085297602338,0.5451197053406999,0.5403427187620669,0.5506445672191529,0.5423590709317205,0.5267034990791897,0.5265622093525041
10,"torch.Size([5428, 28672])",0.6031307550644567,0.6031183044757544,0.6114180478821363,0.6107791347476772,0.6261510128913443,0.6261256197681135,0.6022099447513812,0.6020695546137883,0.5994475138121547,0.5994118524205742
11,"torch.Size([5428, 28672])",0.5994475138121547,0.5993547923071784,0.6031307550644567,0.6029257486221704,0.6141804788213628,0.6141893114237325,0.6197053406998159,0.6195332302542437,0.5994475138121547,0.5994709584598944
12,"torch.Size([5428, 8192])",0.5441988950276243,0.5439928770268914,0.5570902394106814,0.556635625890102,0.569060773480663,0.5684460847734908,0.5488029465930019,0.5480301834957515,0.5580110497237569,0.5579210966449695
