Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 8192])",0.647329650092081,0.647298251671448,0.6445672191528545,0.6448810681488444,0.6546961325966851,0.6546361113711185,0.6546961325966851,0.6547380044696907,0.6537753222836096,0.6536108187663188
1,"torch.Size([5428, 8192])",0.5331491712707183,0.5308560068011592,0.5552486187845304,0.5459313222944323,0.5257826887661142,0.5204389753671764,0.5294659300184162,0.5289207807951499,0.5441988950276243,0.5370828985561321
3,"torch.Size([5428, 8192])",0.5616942909760589,0.5615738479075069,0.569060773480663,0.5648622763039418,0.5506445672191529,0.5475024144698735,0.5414364640883977,0.5398920536615807,0.5497237569060773,0.5491722002619729
4,"torch.Size([5428, 8192])",0.511049723756906,0.5066045124914366,0.5285451197053407,0.5045148947728907,0.5276243093922652,0.5247416698971265,0.5506445672191529,0.5331255056980838,0.5303867403314917,0.5303676265989176
5,"torch.Size([5428, 8192])",0.5469613259668509,0.5457295061995084,0.5791896869244936,0.5775605475858483,0.5616942909760589,0.5600712956168552,0.5589318600368324,0.5583626286428128,0.5681399631675875,0.5675952647210519
6,"torch.Size([5428, 2048])",0.567219152854512,0.5663535558897165,0.56353591160221,0.563029029426257,0.5893186003683242,0.5883201886958055,0.5534069981583793,0.5527709840849807,0.56353591160221,0.5628075399319279
7,"torch.Size([5428, 2048])",0.5534069981583793,0.5520125748330739,0.5552486187845304,0.5546479539037478,0.5644567219152854,0.560232813132565,0.5755064456721916,0.5747465376700601,0.576427255985267,0.5758890934786459
8,"torch.Size([5428, 8192])",0.5359116022099447,0.5355367441950118,0.5138121546961326,0.48537650852546044,0.5395948434622467,0.539576105271406,0.5368324125230203,0.5259187889697429,0.5469613259668509,0.5469613259668509
9,"torch.Size([5428, 8192])",0.5184162062615101,0.5165724130764708,0.5294659300184162,0.5282577886524022,0.5405156537753223,0.5357043754174482,0.511049723756906,0.5066886065324384,0.5580110497237569,0.5579210636800298
10,"torch.Size([5428, 28672])",0.6307550644567219,0.6307015114375343,0.6095764272559853,0.6095923175112862,0.6215469613259669,0.6214978622176565,0.6114180478821363,0.6115340295116906,0.6049723756906077,0.6050075459166333
11,"torch.Size([5428, 28672])",0.6261510128913443,0.625755224275685,0.6132596685082873,0.6133436326896922,0.6031307550644567,0.6027692686980017,0.5865561694290976,0.5860564747986893,0.6132596685082873,0.6132701623222495
12,"torch.Size([5428, 8192])",0.5368324125230203,0.5351548493851868,0.56353591160221,0.5602050798559388,0.5349907918968693,0.5345750816592527,0.5174953959484346,0.5104224656845597,0.5506445672191529,0.5506445672191529
13,"torch.Size([5428, 28672])",0.6151012891344383,0.615084318752271,0.5957642725598526,0.5955671039706242,0.6068139963167587,0.6070290668810584,0.6058931860036832,0.6060670080889814,0.6031307550644567,0.6032266875302501
14,"torch.Size([5428, 8192])",0.5755064456721916,0.5753325370949003,0.5902394106813996,0.5894758070185904,0.6049723756906077,0.6046072882534008,0.585635359116022,0.585294706378455,0.5681399631675875,0.567690937902902
15,"torch.Size([5428, 8192])",0.6114180478821363,0.6112282468858946,0.6132596685082873,0.6128029893363727,0.6160220994475138,0.6160562847315283,0.6160220994475138,0.6160654022759209,0.6519337016574586,0.651980931509499
16,"torch.Size([5428, 8192])",0.5718232044198895,0.5685999266969558,0.5552486187845304,0.552514890078291,0.5589318600368324,0.5589936234338877,0.5543278084714549,0.5522538757359627,0.5248618784530387,0.5227997704726642
