Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 1536])",0.6703499079189686,0.6702042299948543,0.6731123388581952,0.6730000174792455,0.6804788213627992,0.6808232631343195,0.6850828729281768,0.6850786006641346,0.6795580110497238,0.6797102147160738
1,"torch.Size([5428, 1536])",0.5865561694290976,0.5865635314018182,0.5534069981583793,0.5534172221230742,0.6141804788213628,0.6141912753227716,0.5985267034990792,0.5985267034990792,0.574585635359116,0.5745769784030306
2,"torch.Size([5428, 1536])",0.6077348066298343,0.6077986793821174,0.6104972375690608,0.6104922836892601,0.6049723756906077,0.6048802575699954,0.6040515653775322,0.6038634976288813,0.576427255985267,0.5764373136827166
3,"torch.Size([5428, 1536])",0.5460405156537753,0.5248022102884046,0.5377532228360957,0.5268342356812842,0.5506445672191529,0.532002558488596,0.5377532228360957,0.5228453414462088,0.5331491712707183,0.4993384746818512
4,"torch.Size([5428, 1536])",0.4861878453038674,0.31810059767093185,0.4972375690607735,0.33026849605512626,0.4880294659300184,0.3201183378006309,0.46408839779005523,0.2942145314291671,0.496316758747698,0.32924890211078056
5,"torch.Size([5428, 1536])",0.5828729281767956,0.5827834073494492,0.6215469613259669,0.6215415062395391,0.6077348066298343,0.6078412742191038,0.6040515653775322,0.6043096234422096,0.5883977900552486,0.5884449132446271
6,"torch.Size([5428, 1536])",0.5966850828729282,0.5966850828729282,0.5994475138121547,0.5993466348073443,0.5911602209944752,0.5911463537455739,0.6031307550644567,0.6031472443530222,0.583793738489871,0.5837767991653511
7,"torch.Size([5428, 1536])",0.6648250460405156,0.6649501011409672,0.6666666666666666,0.6665784751690054,0.6362799263351749,0.6361179330059584,0.6731123388581952,0.6733835465969952,0.6666666666666666,0.6667141564902759
9,"torch.Size([5428, 1536])",0.6270718232044199,0.6265729474223146,0.6141804788213628,0.6140747824634594,0.6077348066298343,0.607717501595513,0.6151012891344383,0.6151639521949558,0.6178637200736649,0.617788804554481
10,"torch.Size([5428, 1536])",0.5883977900552486,0.5884246637151347,0.5920810313075506,0.5921457250521772,0.5966850828729282,0.5968082851325589,0.5893186003683242,0.5890886852230404,0.5828729281767956,0.5833755860876196
11,"torch.Size([5428, 1536])",0.6243093922651933,0.62431831300554,0.6270718232044199,0.6269690426053846,0.5957642725598526,0.5958146569137024,0.6003683241252302,0.6003683241252302,0.585635359116022,0.5856480106988532
