Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
0,"torch.Size([5428, 1536])",0.6464088397790055,0.6457838082386708,0.6537753222836096,0.6535310264986646,0.651012891344383,0.6503243552540392,0.6270718232044199,0.6263433013028542,0.6565377532228361,0.6563446475106931
1,"torch.Size([5428, 1536])",0.5902394106813996,0.5903961188502175,0.6086556169429097,0.6091707417262825,0.5874769797421732,0.5875049632460725,0.5957642725598526,0.5958098720134307,0.6151012891344383,0.6140114032246615
2,"torch.Size([5428, 1536])",0.5911602209944752,0.5908716412672009,0.6261510128913443,0.6238831789621926,0.58195211786372,0.5809541564488515,0.5985267034990792,0.5983768634342903,0.6086556169429097,0.6086513026955428
3,"torch.Size([5428, 1536])",0.5616942909760589,0.5342890709341462,0.5395948434622467,0.523555443226096,0.5423572744014733,0.5213080108756964,0.5303867403314917,0.5006149831537335,0.5267034990791897,0.515658657215731
4,"torch.Size([5428, 1536])",0.47421731123388583,0.3050867149099952,0.4990791896869245,0.33231071352618313,0.4861878453038674,0.31810059767093185,0.4972375690607735,0.33026849605512626,0.4871086556169429,0.3191089521007589
5,"torch.Size([5428, 1536])",0.6003683241252302,0.6001188805363062,0.583793738489871,0.583793738489871,0.5939226519337016,0.5939216190040689,0.5994475138121547,0.59983738147703,0.5985267034990792,0.5988209578620666
6,"torch.Size([5428, 1536])",0.6077348066298343,0.6075444512522995,0.6031307550644567,0.6033547616372565,0.5699815837937385,0.5699907038521767,0.5939226519337016,0.5937645160880706,0.6022099447513812,0.6021937549544948
7,"torch.Size([5428, 1536])",0.6639042357274402,0.6639204841497206,0.6657458563535912,0.6657813015485916,0.6344383057090239,0.6344479143749273,0.6546961325966851,0.6546712457470599,0.6804788213627992,0.6799068298731256
9,"torch.Size([5428, 1536])",0.6408839779005525,0.6409022479464468,0.6058931860036832,0.6059145768784697,0.6178637200736649,0.6178102481970771,0.5985267034990792,0.5981180778923756,0.6095764272559853,0.6096757467413589
10,"torch.Size([5428, 1536])",0.6178637200736649,0.6179243161893683,0.6362799263351749,0.6362746836122092,0.6040515653775322,0.6040367935873867,0.5948434622467772,0.5948269726388373,0.6353591160220995,0.6348415401293542
11,"torch.Size([5428, 1536])",0.6344383057090239,0.6345806107056694,0.5847145488029466,0.5847113797467264,0.6132596685082873,0.6132163825533992,0.5939226519337016,0.5936840290024152,0.6086556169429097,0.6086161290045983
